,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Palmeiras - SP,4,Atlético - PR,0,3,0
1,1,Flamengo - RJ,1,Sport - PE,0,3,0
2,1,Atlético - MG,1,Santos - SP,0,3,0
3,1,Coritiba - PR,1,Cruzeiro - MG,0,3,0
4,1,Botafogo - RJ,0,São Paulo - SP,1,0,3
5,1,Santa Cruz - PE,4,Vitória - BA,1,3,0
6,1,Corinthians - SP,0,Grêmio - RS,0,1,1
7,1,Figueirense - SC,0,Ponte Preta - SP,0,1,1
8,1,América - MG,0,Fluminense - RJ,1,0,3
9,1,Internacional - RS,0,Chapecoense - SC,0,1,1
10,2,Ponte Preta - SP,2,Palmeiras - SP,1,3,0
11,2,Fluminense - RJ,2,Santa Cruz - PE,2,1,1
12,2,Cruzeiro - MG,2,Figueirense - SC,2,1,1
13,2,Atlético - PR,1,Atlético - MG,1,1,1
14,2,Santos - SP,2,Coritiba - PR,1,3,0
15,2,Chapecoense - SC,3,América - MG,1,3,0
16,2,São Paulo - SP,1,Internacional - RS,2,0,3
17,2,Grêmio - RS,1,Flamengo - RJ,0,3,0
18,2,Vitória - BA,3,Corinthians - SP,2,3,0
19,2,Sport - PE,1,Botafogo - RJ,1,1,1
20,3,Botafogo - RJ,2,Atlético - PR,1,3,0
21,3,Figueirense - SC,2,Santos - SP,2,1,1
22,3,Flamengo - RJ,2,Chapecoense - SC,2,1,1
23,3,América - MG,1,Vitória - BA,1,1,1
24,3,Coritiba - PR,1,São Paulo - SP,1,1,1
25,3,Santa Cruz - PE,4,Cruzeiro - MG,1,3,0
26,3,Palmeiras - SP,2,Fluminense - RJ,0,3,0
27,3,Corinthians - SP,3,Ponte Preta - SP,0,3,0
28,3,Internacional - RS,1,Sport - PE,0,3,0
29,3,Atlético - MG,0,Grêmio - RS,3,0,3
30,4,Cruzeiro - MG,1,América - MG,1,1,1
31,4,Atlético - PR,2,Figueirense - SC,1,3,0
32,4,Chapecoense - SC,1,Santa Cruz - PE,1,1,1
33,4,Ponte Preta - SP,1,Flamengo - RJ,2,0,3
34,4,Sport - PE,0,Corinthians - SP,2,0,3
35,4,São Paulo - SP,1,Palmeiras - SP,0,3,0
36,4,Fluminense - RJ,1,Botafogo - RJ,0,3,0
37,4,Vitória - BA,1,Atlético - MG,1,1,1
38,4,Grêmio - RS,2,Coritiba - PR,0,3,0
39,4,Santos - SP,0,Internacional - RS,1,0,3
40,5,Internacional - RS,1,Atlético - PR,0,3,0
41,5,Coritiba - PR,3,Chapecoense - SC,4,0,3
42,5,Santa Cruz - PE,0,Sport - PE,1,0,3
43,5,Corinthians - SP,1,Santos - SP,0,3,0
44,5,Botafogo - RJ,0,Cruzeiro - MG,1,0,3
45,5,Figueirense - SC,1,São Paulo - SP,0,3,0
46,5,Atlético - MG,1,Fluminense - RJ,1,1,1
47,5,América - MG,1,Ponte Preta - SP,2,0,3
48,5,Flamengo - RJ,1,Vitória - BA,0,3,0
49,5,Palmeiras - SP,4,Grêmio - RS,3,3,0
50,6,Atlético - PR,1,Santa Cruz - PE,0,3,0
51,6,Chapecoense - SC,0,Fluminense - RJ,0,1,1
52,6,Corinthians - SP,2,Coritiba - PR,1,3,0
53,6,América - MG,1,Figueirense - SC,0,3,0
54,6,Santos - SP,3,Botafogo - RJ,0,3,0
55,6,Flamengo - RJ,1,Palmeiras - SP,2,0,3
56,6,Vitória - BA,1,Internacional - RS,0,3,0
57,6,Sport - PE,4,Atlético - MG,4,1,1
58,6,Grêmio - RS,1,Ponte Preta - SP,0,3,0
59,6,Cruzeiro - MG,0,São Paulo - SP,1,0,3
60,7,Internacional - RS,3,América - MG,1,3,0
61,7,Ponte Preta - SP,2,Chapecoense - SC,1,3,0
62,7,Fluminense - RJ,1,Grêmio - RS,1,1,1
63,7,São Paulo - SP,1,Atlético - PR,2,0,3
64,7,Coritiba - PR,3,Sport - PE,2,3,0
65,7,Botafogo - RJ,1,Vitória - BA,1,1,1
66,7,Figueirense - SC,1,Flamengo - RJ,0,3,0
67,7,Atlético - MG,2,Cruzeiro - MG,3,0,3
68,7,Palmeiras - SP,1,Corinthians - SP,0,3,0
69,7,Santa Cruz - PE,0,Santos - SP,2,0,3
70,8,Chapecoense - SC,3,Grêmio - RS,3,1,1
71,8,Ponte Preta - SP,3,Atlético - PR,2,3,0
72,8,São Paulo - SP,2,Vitória - BA,0,3,0
73,8,Santos - SP,2,Sport - PE,0,3,0
74,8,Santa Cruz - PE,1,Figueirense - SC,0,3,0
75,8,Botafogo - RJ,3,América - MG,1,3,0
76,8,Cruzeiro - MG,0,Flamengo - RJ,1,0,3
77,8,Coritiba - PR,2,Palmeiras - SP,2,1,1
78,8,Internacional - RS,2,Atlético - MG,0,3,0
79,8,Fluminense - RJ,1,Corinthians - SP,0,3,0
80,9,Palmeiras - SP,3,Santa Cruz - PE,1,3,0
81,9,Atlético - PR,1,Santos - SP,0,3,0
82,9,América - MG,2,Coritiba - PR,1,3,0
83,9,Vitória - BA,1,Chapecoense - SC,2,0,3
84,9,Atlético - MG,3,Ponte Preta - SP,0,3,0
85,9,Corinthians - SP,3,Botafogo - RJ,1,3,0
