,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,América Saf - MG,0,0,0,1,Casa,0,3,-3,0,0.0
1,2,América Saf - MG,0,0,0,2,Fora,0,6,-6,0,0.0
2,3,América Saf - MG,0,0,0,3,Fora,2,9,-7,0,0.0
3,4,América Saf - MG,0,0,0,4,Casa,3,11,-8,0,0.0
4,5,América Saf - MG,1,0,1,4,Fora,5,13,-8,1,6.67
5,6,América Saf - MG,0,0,1,5,Casa,5,17,-12,1,5.56
6,7,América Saf - MG,3,1,1,5,Casa,7,18,-11,4,19.05
7,8,América Saf - MG,0,1,1,6,Fora,7,20,-13,4,16.67
8,9,América Saf - MG,3,2,1,6,Casa,9,20,-11,7,25.93
9,10,América Saf - MG,1,2,2,6,Casa,11,22,-11,8,26.67
10,11,América Saf - MG,0,2,2,7,Fora,12,25,-13,8,24.24
11,12,América Saf - MG,0,2,2,8,Casa,13,27,-14,8,22.22
12,13,América Saf - MG,1,2,3,8,Fora,15,29,-14,9,23.08
13,14,América Saf - MG,0,2,3,9,Fora,16,32,-16,9,21.43
14,15,América Saf - MG,0,2,3,10,Casa,16,33,-17,9,20.0
15,16,América Saf - MG,1,2,4,10,Fora,17,34,-17,10,20.83
16,17,América Saf - MG,0,2,4,11,Casa,18,38,-20,10,19.61
17,18,América Saf - MG,0,2,4,12,Fora,19,41,-22,10,18.52
18,19,América Saf - MG,0,2,4,13,Casa,19,42,-23,10,17.54
19,20,América Saf - MG,0,2,4,14,Fora,20,45,-25,10,16.67
20,21,América Saf - MG,3,3,4,14,Casa,22,46,-24,13,20.63
21,22,América Saf - MG,3,4,4,14,Casa,24,46,-22,16,24.24
22,23,América Saf - MG,1,4,5,14,Fora,26,48,-22,17,24.64
23,24,América Saf - MG,0,4,5,15,Casa,26,50,-24,17,23.61
24,25,América Saf - MG,1,4,6,15,Fora,27,51,-24,18,24.0
25,26,América Saf - MG,0,4,6,16,Fora,29,54,-25,18,23.08
26,27,América Saf - MG,0,4,6,17,Casa,30,56,-26,18,22.22
27,28,América Saf - MG,1,4,7,17,Fora,31,57,-26,19,22.62
28,29,América Saf - MG,0,4,7,18,Fora,33,60,-27,19,21.84
29,30,América Saf - MG,0,4,7,19,Casa,36,64,-28,19,21.11
30,31,América Saf - MG,1,4,8,19,Fora,37,65,-28,20,21.51
31,32,América Saf - MG,1,4,9,19,Casa,38,66,-28,21,21.88
32,33,América Saf - MG,0,4,9,20,Casa,38,69,-31,21,21.21
33,34,América Saf - MG,0,4,9,21,Fora,39,71,-32,21,20.59
34,35,América Saf - MG,0,4,9,22,Casa,39,74,-35,21,20.0
35,36,América Saf - MG,0,4,9,23,Fora,39,78,-39,21,19.44
36,37,América Saf - MG,3,5,9,23,Casa,42,80,-38,24,21.62
37,38,América Saf - MG,0,5,9,24,Fora,42,81,-39,24,21.05
38,1,Athletico Paranaense - PR,3,1,0,0,Casa,2,0,2,3,100.0
39,2,Athletico Paranaense - PR,0,1,0,1,Fora,2,2,0,3,50.0
40,3,Athletico Paranaense - PR,0,1,0,2,Fora,3,4,-1,3,33.33
41,4,Athletico Paranaense - PR,3,2,0,2,Casa,5,5,0,6,50.0
42,5,Athletico Paranaense - PR,3,3,0,2,Fora,7,5,2,9,60.0
43,6,Athletico Paranaense - PR,3,4,0,2,Casa,10,7,3,12,66.67
44,7,Athletico Paranaense - PR,0,4,0,3,Fora,10,9,1,12,57.14
45,8,Athletico Paranaense - PR,0,4,0,4,Casa,11,11,0,12,50.0
46,9,Athletico Paranaense - PR,3,5,0,4,Casa,12,11,1,15,55.56
47,10,Athletico Paranaense - PR,1,5,1,4,Fora,14,13,1,16,53.33
48,11,Athletico Paranaense - PR,0,5,1,5,Fora,15,15,0,16,48.48
49,12,Athletico Paranaense - PR,3,6,1,5,Casa,16,15,1,19,52.78
50,13,Athletico Paranaense - PR,1,6,2,5,Casa,18,17,1,20,51.28
51,14,Athletico Paranaense - PR,0,6,2,6,Fora,18,18,0,20,47.62
52,15,Athletico Paranaense - PR,3,7,2,6,Casa,20,18,2,23,51.11
53,16,Athletico Paranaense - PR,3,8,2,6,Fora,22,18,4,26,54.17
54,17,Athletico Paranaense - PR,1,8,3,6,Casa,25,21,4,27,52.94
55,18,Athletico Paranaense - PR,1,8,4,6,Fora,26,22,4,28,51.85
56,19,Athletico Paranaense - PR,3,9,4,6,Casa,28,22,6,31,54.39
57,20,Athletico Paranaense - PR,1,9,5,6,Fora,29,23,6,32,53.33
58,21,Athletico Paranaense - PR,1,9,6,6,Casa,31,25,6,33,52.38
59,22,Athletico Paranaense - PR,1,9,7,6,Casa,32,26,6,34,51.52
60,23,Athletico Paranaense - PR,3,10,7,6,Fora,35,26,9,37,53.62
61,24,Athletico Paranaense - PR,3,11,7,6,Casa,37,27,10,40,55.56
62,25,Athletico Paranaense - PR,0,11,7,7,Fora,37,29,8,40,53.33
63,26,Athletico Paranaense - PR,1,11,8,7,Casa,38,30,8,41,52.56
64,27,Athletico Paranaense - PR,3,12,8,7,Fora,40,31,9,44,54.32
65,28,Athletico Paranaense - PR,1,12,9,7,Fora,41,32,9,45,53.57
66,29,Athletico Paranaense - PR,3,13,9,7,Casa,44,34,10,48,55.17
67,30,Athletico Paranaense - PR,1,13,10,7,Casa,45,35,10,49,54.44
68,31,Athletico Paranaense - PR,0,13,10,8,Fora,45,36,9,49,52.69
69,32,Athletico Paranaense - PR,0,13,10,9,Fora,45,37,8,49,51.04
70,33,Athletico Paranaense - PR,1,13,11,9,Casa,46,38,8,50,50.51
71,34,Athletico Paranaense - PR,1,13,12,9,Fora,47,39,8,51,50.0
72,35,Athletico Paranaense - PR,1,13,13,9,Casa,47,39,8,52,49.52
73,36,Athletico Paranaense - PR,1,13,14,9,Fora,48,40,8,53,49.07
74,37,Athletico Paranaense - PR,3,14,14,9,Casa,51,40,11,56,50.45
75,38,Athletico Paranaense - PR,0,14,14,10,Fora,51,43,8,56,49.12
76,1,Atlético Mineiro Saf - MG,0,0,0,1,Casa,1,2,-1,0,0.0
77,2,Atlético Mineiro Saf - MG,1,0,1,1,Fora,1,2,-1,1,16.67
78,3,Atlético Mineiro Saf - MG,3,1,1,1,Casa,3,3,0,4,44.44
79,4,Atlético Mineiro Saf - MG,0,1,1,2,Fora,3,5,-2,4,33.33
80,5,Atlético Mineiro Saf - MG,3,2,1,2,Fora,7,5,2,7,46.67
81,6,Atlético Mineiro Saf - MG,3,3,1,2,Casa,9,5,4,10,55.56
82,7,Atlético Mineiro Saf - MG,3,4,1,2,Fora,11,6,5,13,61.9
83,8,Atlético Mineiro Saf - MG,1,4,2,2,Casa,12,7,5,14,58.33
84,9,Atlético Mineiro Saf - MG,3,5,2,2,Fora,13,7,6,17,62.96
85,10,Atlético Mineiro Saf - MG,1,5,3,2,Casa,14,8,6,18,60.0
86,11,Atlético Mineiro Saf - MG,1,5,4,2,Fora,15,9,6,19,57.58
87,12,Atlético Mineiro Saf - MG,0,5,4,3,Fora,16,11,5,19,52.78
88,13,Atlético Mineiro Saf - MG,1,5,5,3,Casa,18,13,5,20,51.28
89,14,Atlético Mineiro Saf - MG,0,5,5,4,Casa,18,14,4,20,47.62
90,15,Atlético Mineiro Saf - MG,1,5,6,4,Fora,18,14,4,21,46.67
91,16,Atlético Mineiro Saf - MG,0,5,6,5,Fora,18,15,3,21,43.75
92,17,Atlético Mineiro Saf - MG,0,5,6,6,Casa,19,17,2,21,41.18
93,18,Atlético Mineiro Saf - MG,3,6,6,6,Fora,21,17,4,24,44.44
94,19,Atlético Mineiro Saf - MG,3,7,6,6,Casa,22,17,5,27,47.37
95,20,Atlético Mineiro Saf - MG,0,7,6,7,Fora,22,18,4,27,45.0
96,21,Atlético Mineiro Saf - MG,3,8,6,7,Casa,24,18,6,30,47.62
97,22,Atlético Mineiro Saf - MG,1,8,7,7,Fora,25,19,6,31,46.97
98,23,Atlético Mineiro Saf - MG,3,9,7,7,Casa,26,19,7,34,49.28
99,24,Atlético Mineiro Saf - MG,3,10,7,7,Casa,27,19,8,37,51.39
100,25,Atlético Mineiro Saf - MG,3,11,7,7,Fora,29,19,10,40,53.33
101,26,Atlético Mineiro Saf - MG,0,11,7,8,Casa,30,21,9,40,51.28
102,27,Atlético Mineiro Saf - MG,3,12,7,8,Fora,32,21,11,43,53.09
103,28,Atlético Mineiro Saf - MG,0,12,7,9,Casa,32,22,10,43,51.19
104,29,Atlético Mineiro Saf - MG,3,13,7,9,Fora,34,23,11,46,52.87
105,30,Atlético Mineiro Saf - MG,3,14,7,9,Casa,36,23,13,49,54.44
106,31,Atlético Mineiro Saf - MG,3,15,7,9,Casa,39,24,15,52,55.91
107,32,Atlético Mineiro Saf - MG,1,15,8,9,Fora,40,25,15,53,55.21
108,33,Atlético Mineiro Saf - MG,1,15,9,9,Fora,41,26,15,54,54.55
