,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,América Fc Saf - MG,0,0,0,1,Fora,0,1,-1,0,0.0
1,2,América Fc Saf - MG,3,1,0,1,Casa,4,2,2,3,50.0
2,3,América Fc Saf - MG,0,1,0,2,Fora,4,5,-1,3,33.33
3,4,América Fc Saf - MG,3,2,0,2,Casa,5,5,0,6,50.0
4,5,América Fc Saf - MG,3,3,0,2,Fora,7,6,1,9,60.0
5,6,América Fc Saf - MG,0,3,0,3,Fora,7,7,0,9,50.0
6,7,América Fc Saf - MG,1,3,1,3,Casa,8,8,0,10,47.62
7,8,América Fc Saf - MG,1,3,2,3,Fora,9,9,0,11,45.83
8,9,América Fc Saf - MG,3,4,2,3,Casa,11,10,1,14,51.85
9,10,América Fc Saf - MG,0,4,2,4,Casa,11,12,-1,14,46.67
10,11,América Fc Saf - MG,0,4,2,5,Fora,11,13,-2,14,42.42
11,12,América Fc Saf - MG,1,4,3,5,Casa,11,13,-2,15,41.67
12,13,América Fc Saf - MG,0,4,3,6,Fora,11,14,-3,15,38.46
13,14,América Fc Saf - MG,0,4,3,7,Fora,11,17,-6,15,35.71
14,15,América Fc Saf - MG,3,5,3,7,Casa,12,17,-5,18,40.0
15,16,América Fc Saf - MG,0,5,3,8,Fora,12,18,-6,18,37.5
16,17,América Fc Saf - MG,0,5,3,9,Casa,12,21,-9,18,35.29
17,18,América Fc Saf - MG,0,5,3,10,Casa,12,22,-10,18,33.33
18,19,América Fc Saf - MG,3,6,3,10,Fora,13,22,-9,21,36.84
19,20,América Fc Saf - MG,3,7,3,10,Casa,16,23,-7,24,40.0
20,21,América Fc Saf - MG,3,8,3,10,Fora,17,23,-6,27,42.86
21,22,América Fc Saf - MG,3,9,3,10,Casa,18,23,-5,30,45.45
22,23,América Fc Saf - MG,1,9,4,10,Fora,19,24,-5,31,44.93
23,24,América Fc Saf - MG,1,9,5,10,Casa,20,25,-5,32,44.44
24,25,América Fc Saf - MG,3,10,5,10,Casa,22,25,-3,35,46.67
25,26,América Fc Saf - MG,1,10,6,10,Fora,22,25,-3,36,46.15
26,27,América Fc Saf - MG,3,11,6,10,Casa,23,25,-2,39,48.15
27,28,América Fc Saf - MG,0,11,6,11,Fora,24,27,-3,39,46.43
28,29,América Fc Saf - MG,3,12,6,11,Fora,26,28,-2,42,48.28
29,30,América Fc Saf - MG,0,12,6,12,Casa,27,30,-3,42,46.67
30,31,América Fc Saf - MG,3,13,6,12,Fora,29,30,-1,45,48.39
31,32,América Fc Saf - MG,0,13,6,13,Casa,30,32,-2,45,46.88
32,33,América Fc Saf - MG,0,13,6,14,Casa,31,34,-3,45,45.45
33,34,América Fc Saf - MG,1,13,7,14,Fora,33,36,-3,46,45.1
34,35,América Fc Saf - MG,3,14,7,14,Casa,34,36,-2,49,46.67
35,36,América Fc Saf - MG,3,15,7,14,Fora,38,37,1,52,48.15
36,37,América Fc Saf - MG,0,15,7,15,Fora,39,39,0,52,46.85
37,38,América Fc Saf - MG,1,15,8,15,Casa,40,40,0,53,46.49
38,1,Athletico Paranaense - PR,0,0,0,1,Fora,0,4,-4,0,0.0
