,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Fluminense - RJ,3,Figueirense - SC,0,3,0
1,1,Internacional - RS,1,Vitória - BA,0,3,0
2,1,Chapecoense - SC,0,Coritiba - PR,0,1,1
3,1,São Paulo - SP,3,Botafogo - RJ,0,3,0
4,1,Atletico - PR,1,Grêmio - RS,0,3,0
5,1,Atlético - MG,0,Corinthians - SP,0,1,1
6,1,Bahia - BA,1,Cruzeiro - MG,2,0,3
7,1,Flamengo - RJ,0,Goiás - GO,0,1,1
8,1,Criciuma - SC,1,Palmeiras - SP,2,0,3
9,1,Santos - SP,1,Sport - PE,1,1,1
10,2,Coritiba - PR,0,Santos - SP,0,1,1
11,2,Palmeiras - SP,0,Fluminense - RJ,1,0,3
12,2,Botafogo - RJ,2,Internacional - RS,2,1,1
13,2,Corinthians - SP,2,Flamengo - RJ,0,3,0
14,2,Cruzeiro - MG,1,São Paulo - SP,1,1,1
15,2,Vitória - BA,2,Atletico - PR,2,1,1
16,2,Goiás - GO,1,Criciuma - SC,0,3,0
17,2,Sport - PE,2,Chapecoense - SC,1,3,0
18,2,Figueirense - SC,0,Bahia - BA,2,0,3
19,2,Grêmio - RS,2,Atlético - MG,1,3,0
20,3,Santos - SP,0,Grêmio - RS,0,1,1
21,3,Atletico - PR,2,Cruzeiro - MG,3,0,3
22,3,São Paulo - SP,2,Coritiba - PR,2,1,1
23,3,Fluminense - RJ,1,Vitória - BA,2,0,3
24,3,Flamengo - RJ,4,Palmeiras - SP,2,3,0
25,3,Bahia - BA,1,Botafogo - RJ,0,3,0
26,3,Internacional - RS,2,Sport - PE,1,3,0
27,3,Criciuma - SC,1,Figueirense - SC,0,3,0
28,3,Atlético - MG,0,Goiás - GO,1,0,3
29,3,Chapecoense - SC,0,Corinthians - SP,1,0,3
30,4,Internacional - RS,2,Atletico - PR,1,3,0
31,4,Palmeiras - SP,2,Goiás - GO,0,3,0
32,4,Botafogo - RJ,6,Criciuma - SC,0,3,0
33,4,Fluminense - RJ,2,Flamengo - RJ,0,3,0
34,4,Atlético - MG,2,Cruzeiro - MG,1,3,0
35,4,Chapecoense - SC,1,Grêmio - RS,2,0,3
36,4,São Paulo - SP,1,Corinthians - SP,1,1,1
37,4,Coritiba - PR,0,Sport - PE,1,0,3
38,4,Bahia - BA,1,Vitória - BA,1,1,1
39,4,Figueirense - SC,0,Santos - SP,2,0,3
40,5,Goiás - GO,2,Botafogo - RJ,0,3,0
