,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Atlético - MG,1,0,1,0,Fora,2,2,0,1,33.33
1,2,Atlético - MG,3,1,1,0,Casa,6,3,3,4,66.67
2,3,Atlético - MG,0,1,1,1,Fora,6,4,2,4,44.44
3,4,Atlético - MG,3,2,1,1,Casa,9,4,5,7,58.33
4,5,Atlético - MG,3,3,1,1,Fora,13,5,8,10,66.67
5,6,Atlético - MG,0,3,1,2,Casa,14,8,6,10,55.56
6,7,Atlético - MG,1,3,2,2,Casa,16,10,6,11,52.38
7,8,Atlético - MG,3,4,2,2,Fora,18,10,8,14,58.33
8,9,Atlético - MG,3,5,2,2,Casa,19,10,9,17,62.96
9,10,Atlético - MG,3,6,2,2,Casa,21,10,11,20,66.67
10,11,Atlético - MG,3,7,2,2,Fora,24,11,13,23,69.7
11,12,Atlético - MG,3,8,2,2,Casa,26,12,14,26,72.22
12,13,Atlético - MG,3,9,2,2,Fora,28,12,16,29,74.36
13,14,Atlético - MG,0,9,2,3,Fora,28,13,15,29,69.05
14,15,Atlético - MG,3,10,2,3,Casa,29,13,16,32,71.11
15,16,Atlético - MG,3,11,2,3,Casa,32,14,18,35,72.92
16,17,Atlético - MG,1,11,3,3,Fora,32,14,18,36,70.59
17,18,Atlético - MG,0,11,3,4,Casa,32,16,16,36,66.67
18,19,Atlético - MG,0,11,3,5,Fora,33,18,15,36,63.16
19,20,Atlético - MG,3,12,3,5,Casa,35,19,16,39,65.0
20,21,Atlético - MG,3,13,3,5,Fora,37,20,17,42,66.67
21,22,Atlético - MG,0,13,3,6,Casa,37,21,16,42,63.64
22,23,Atlético - MG,3,14,3,6,Fora,39,22,17,45,65.22
23,24,Atlético - MG,3,15,3,6,Casa,41,22,19,48,66.67
24,25,Atlético - MG,1,15,4,6,Fora,42,23,19,49,65.33
25,26,Atlético - MG,0,15,4,7,Fora,42,27,15,49,62.82
26,27,Atlético - MG,3,16,4,7,Casa,46,28,18,52,64.2
27,28,Atlético - MG,1,16,5,7,Fora,48,30,18,53,63.1
28,29,Atlético - MG,3,17,5,7,Fora,51,30,21,56,64.37
29,30,Atlético - MG,3,18,5,7,Casa,53,31,22,59,65.56
30,31,Atlético - MG,0,18,5,8,Fora,54,35,19,59,63.44
31,32,Atlético - MG,3,19,5,8,Casa,56,36,20,62,64.58
32,33,Atlético - MG,0,19,5,9,Casa,56,39,17,62,62.63
33,34,Atlético - MG,3,20,5,9,Fora,57,39,18,65,63.73
34,35,Atlético - MG,0,20,5,10,Fora,59,43,16,65,61.9
35,36,Atlético - MG,1,20,6,10,Casa,61,45,16,66,61.11
36,37,Atlético - MG,0,20,6,11,Fora,62,47,15,66,59.46
37,38,Atlético - MG,3,21,6,11,Casa,65,47,18,69,60.53
38,1,Atlético - PR,3,1,0,0,Casa,3,0,3,3,100.0
39,2,Atlético - PR,0,1,0,1,Fora,3,2,1,3,50.0
40,3,Atlético - PR,3,2,0,1,Casa,4,2,2,6,66.67
41,4,Atlético - PR,3,3,0,1,Fora,6,3,3,9,75.0
42,5,Atlético - PR,3,4,0,1,Casa,7,3,4,12,80.0
43,6,Atlético - PR,3,5,0,1,Casa,9,3,6,15,83.33
44,7,Atlético - PR,0,5,0,2,Fora,10,5,5,15,71.43
45,8,Atlético - PR,1,5,1,2,Casa,12,7,5,16,66.67
46,9,Atlético - PR,0,5,1,3,Fora,13,9,4,16,59.26
47,10,Atlético - PR,3,6,1,3,Casa,15,10,5,19,63.33
48,11,Atlético - PR,0,6,1,4,Fora,15,12,3,19,57.58
49,12,Atlético - PR,0,6,1,5,Fora,15,14,1,19,52.78
50,13,Atlético - PR,0,6,1,6,Casa,16,16,0,19,48.72
51,14,Atlético - PR,3,7,1,6,Casa,17,16,1,22,52.38
52,15,Atlético - PR,3,8,1,6,Fora,19,17,2,25,55.56
53,16,Atlético - PR,3,9,1,6,Fora,20,17,3,28,58.33
54,17,Atlético - PR,1,9,2,6,Casa,21,18,3,29,56.86
55,18,Atlético - PR,0,9,2,7,Fora,23,21,2,29,53.7
56,19,Atlético - PR,1,9,3,7,Casa,23,21,2,30,52.63
57,20,Atlético - PR,0,9,3,8,Fora,23,23,0,30,50.0
58,21,Atlético - PR,3,10,3,8,Casa,26,23,3,33,52.38
59,22,Atlético - PR,3,11,3,8,Fora,27,23,4,36,54.55
60,23,Atlético - PR,1,11,4,8,Casa,27,23,4,37,53.62
61,24,Atlético - PR,1,11,5,8,Fora,28,24,4,38,52.78
62,25,Atlético - PR,0,11,5,9,Fora,28,26,2,38,50.67
63,26,Atlético - PR,0,11,5,10,Casa,29,28,1,38,48.72
64,27,Atlético - PR,0,11,5,11,Fora,29,30,-1,38,46.91
65,28,Atlético - PR,0,11,5,12,Casa,30,32,-2,38,45.24
66,29,Atlético - PR,0,11,5,13,Fora,30,33,-3,38,43.68
67,30,Atlético - PR,1,11,6,13,Casa,32,35,-3,39,43.33
68,31,Atlético - PR,0,11,6,14,Casa,33,39,-6,39,41.94
69,32,Atlético - PR,3,12,6,14,Fora,34,39,-5,42,43.75
70,33,Atlético - PR,1,12,7,14,Fora,34,39,-5,43,43.43
71,34,Atlético - PR,3,13,7,14,Casa,36,40,-4,46,45.1
72,35,Atlético - PR,1,13,8,14,Casa,39,43,-4,47,44.76
73,36,Atlético - PR,1,13,9,14,Fora,39,43,-4,48,44.44
74,37,Atlético - PR,3,14,9,14,Casa,42,43,-1,51,45.95
75,38,Atlético - PR,0,14,9,15,Fora,43,48,-5,51,44.74
76,1,Avaí - SC,1,0,1,0,Casa,1,1,0,1,33.33
77,2,Avaí - SC,0,0,1,1,Fora,1,2,-1,1,16.67
78,3,Avaí - SC,3,1,1,1,Casa,3,3,0,4,44.44
79,4,Avaí - SC,3,2,1,1,Fora,5,4,1,7,58.33
80,5,Avaí - SC,0,2,1,2,Casa,6,8,-2,7,46.67
81,6,Avaí - SC,3,3,1,2,Fora,7,8,-1,10,55.56
82,7,Avaí - SC,1,3,2,2,Casa,8,9,-1,11,52.38
83,8,Avaí - SC,1,3,3,2,Fora,9,10,-1,12,50.0
84,9,Avaí - SC,0,3,3,3,Casa,10,12,-2,12,44.44
85,10,Avaí - SC,0,3,3,4,Fora,10,13,-3,12,40.0
86,11,Avaí - SC,1,3,4,4,Casa,12,15,-3,13,39.39
87,12,Avaí - SC,0,3,4,5,Fora,12,18,-6,13,36.11
88,13,Avaí - SC,3,4,4,5,Casa,14,19,-5,16,41.03
89,14,Avaí - SC,1,4,5,5,Fora,15,20,-5,17,40.48
90,15,Avaí - SC,0,4,5,6,Casa,16,22,-6,17,37.78
91,16,Avaí - SC,0,4,5,7,Fora,16,24,-8,17,35.42
92,17,Avaí - SC,3,5,5,7,Casa,17,24,-7,20,39.22
93,18,Avaí - SC,0,5,5,8,Fora,17,26,-9,20,37.04
94,19,Avaí - SC,0,5,5,9,Casa,18,28,-10,20,35.09
95,20,Avaí - SC,0,5,5,10,Fora,20,33,-13,20,33.33
96,21,Avaí - SC,3,6,5,10,Casa,23,33,-10,23,36.51
97,22,Avaí - SC,0,6,5,11,Fora,23,36,-13,23,34.85
98,23,Avaí - SC,0,6,5,12,Casa,23,38,-15,23,33.33
99,24,Avaí - SC,0,6,5,13,Fora,23,40,-17,23,31.94
100,25,Avaí - SC,3,7,5,13,Casa,25,41,-16,26,34.67
101,26,Avaí - SC,3,8,5,13,Fora,26,41,-15,29,37.18
102,27,Avaí - SC,3,9,5,13,Casa,28,42,-14,32,39.51
103,28,Avaí - SC,0,9,5,14,Fora,29,45,-16,32,38.1
104,29,Avaí - SC,1,9,6,14,Casa,30,46,-16,33,37.93
105,30,Avaí - SC,0,9,6,15,Fora,30,49,-19,33,36.67
106,31,Avaí - SC,0,9,6,16,Casa,31,52,-21,33,35.48
107,32,Avaí - SC,1,9,7,16,Fora,31,52,-21,34,35.42
108,33,Avaí - SC,1,9,8,16,Casa,32,53,-21,35,35.35
109,34,Avaí - SC,0,9,8,17,Fora,33,55,-22,35,34.31
110,35,Avaí - SC,3,10,8,17,Casa,35,56,-21,38,36.19
111,36,Avaí - SC,0,10,8,18,Fora,36,59,-23,38,35.19
112,37,Avaí - SC,3,11,8,18,Casa,37,59,-22,41,36.94
113,38,Avaí - SC,1,11,9,18,Fora,38,60,-22,42,36.84
114,1,Chapecoense - SC,3,1,0,0,Casa,2,1,1,3,100.0
115,2,Chapecoense - SC,0,1,0,1,Fora,2,2,0,3,50.0
116,3,Chapecoense - SC,3,2,0,1,Casa,3,2,1,6,66.67
117,4,Chapecoense - SC,0,2,0,2,Fora,4,5,-1,6,50.0
118,5,Chapecoense - SC,3,3,0,2,Casa,6,5,1,9,60.0
119,6,Chapecoense - SC,0,3,0,3,Fora,6,6,0,9,50.0
120,7,Chapecoense - SC,0,3,0,4,Casa,6,7,-1,9,42.86
121,8,Chapecoense - SC,3,4,0,4,Fora,7,7,0,12,50.0
122,9,Chapecoense - SC,1,4,1,4,Casa,8,8,0,13,48.15
123,10,Chapecoense - SC,0,4,1,5,Fora,8,10,-2,13,43.33
124,11,Chapecoense - SC,3,5,1,5,Casa,9,10,-1,16,48.48
125,12,Chapecoense - SC,3,6,1,5,Casa,10,10,0,19,52.78
126,13,Chapecoense - SC,0,6,1,6,Fora,11,12,-1,19,48.72
127,14,Chapecoense - SC,0,6,1,7,Fora,11,13,-2,19,45.24
128,15,Chapecoense - SC,3,7,1,7,Casa,13,14,-1,22,48.89
129,16,Chapecoense - SC,1,7,2,7,Fora,13,14,-1,23,47.92
130,17,Chapecoense - SC,1,7,3,7,Casa,15,16,-1,24,47.06
131,18,Chapecoense - SC,1,7,4,7,Fora,15,16,-1,25,46.3
132,19,Chapecoense - SC,3,8,4,7,Casa,17,17,0,28,49.12
133,20,Chapecoense - SC,0,8,4,8,Fora,17,18,-1,28,46.67
134,21,Chapecoense - SC,0,8,4,9,Casa,18,21,-3,28,44.44
135,22,Chapecoense - SC,0,8,4,10,Fora,19,24,-5,28,42.42
136,23,Chapecoense - SC,1,8,5,10,Casa,19,24,-5,29,42.03
137,24,Chapecoense - SC,1,8,6,10,Fora,19,24,-5,30,41.67
138,25,Chapecoense - SC,0,8,6,11,Casa,20,27,-7,30,40.0
139,26,Chapecoense - SC,1,8,7,11,Fora,20,27,-7,31,39.74
140,27,Chapecoense - SC,0,8,7,12,Casa,20,29,-9,31,38.27
141,28,Chapecoense - SC,0,8,7,13,Fora,20,32,-12,31,36.9
142,29,Chapecoense - SC,3,9,7,13,Casa,25,33,-8,34,39.08
143,30,Chapecoense - SC,1,9,8,13,Fora,26,34,-8,35,38.89
144,31,Chapecoense - SC,3,10,8,13,Fora,29,36,-7,38,40.86
145,32,Chapecoense - SC,1,10,9,13,Casa,29,36,-7,39,40.62
146,33,Chapecoense - SC,1,10,10,13,Casa,29,36,-7,40,40.4
147,34,Chapecoense - SC,3,11,10,13,Fora,32,38,-6,43,42.16
148,35,Chapecoense - SC,3,12,10,13,Casa,33,38,-5,46,43.81
149,36,Chapecoense - SC,1,12,11,13,Fora,33,38,-5,47,43.52
150,37,Chapecoense - SC,0,12,11,14,Casa,34,41,-7,47,42.34
151,38,Chapecoense - SC,0,12,11,15,Fora,34,44,-10,47,41.23
152,1,Corinthians - SP,3,1,0,0,Fora,1,0,1,3,100.0
153,2,Corinthians - SP,3,2,0,0,Casa,2,0,2,6,100.0
154,3,Corinthians - SP,1,2,1,0,Fora,2,0,2,7,77.78
155,4,Corinthians - SP,0,2,1,1,Casa,2,2,0,7,58.33
156,5,Corinthians - SP,0,2,1,2,Fora,3,5,-2,7,46.67
157,6,Corinthians - SP,3,3,1,2,Fora,4,5,-1,10,55.56
158,7,Corinthians - SP,3,4,1,2,Casa,6,6,0,13,61.9
159,8,Corinthians - SP,0,4,1,3,Fora,6,7,-1,13,54.17
160,9,Corinthians - SP,3,5,1,3,Casa,8,8,0,16,59.26
161,10,Corinthians - SP,3,6,1,3,Casa,10,8,2,19,63.33
162,11,Corinthians - SP,1,6,2,3,Fora,10,8,2,20,60.61
163,12,Corinthians - SP,3,7,2,3,Casa,12,8,4,23,63.89
164,13,Corinthians - SP,3,8,2,3,Fora,15,8,7,26,66.67
165,14,Corinthians - SP,3,9,2,3,Casa,16,8,8,29,69.05
166,15,Corinthians - SP,1,9,3,3,Fora,17,9,8,30,66.67
167,16,Corinthians - SP,3,10,3,3,Casa,20,9,11,33,68.75
168,17,Corinthians - SP,1,10,4,3,Fora,21,10,11,34,66.67
169,18,Corinthians - SP,3,11,4,3,Casa,25,13,12,37,68.52
170,19,Corinthians - SP,3,12,4,3,Fora,27,14,13,40,70.18
171,20,Corinthians - SP,3,13,4,3,Casa,30,14,16,43,71.67
172,21,Corinthians - SP,3,14,4,3,Fora,33,15,18,46,73.02
173,22,Corinthians - SP,3,15,4,3,Casa,35,15,20,49,74.24
174,23,Corinthians - SP,1,15,5,3,Fora,38,18,20,50,72.46
175,24,Corinthians - SP,1,15,6,3,Casa,39,19,20,51,70.83
176,25,Corinthians - SP,3,16,6,3,Casa,42,19,23,54,72.0
177,26,Corinthians - SP,0,16,6,4,Fora,43,21,22,54,69.23
178,27,Corinthians - SP,3,17,6,4,Casa,45,21,24,57,70.37
179,28,Corinthians - SP,3,18,6,4,Fora,48,22,26,60,71.43
180,29,Corinthians - SP,1,18,7,4,Fora,50,24,26,61,70.11
181,30,Corinthians - SP,3,19,7,4,Casa,53,24,29,64,71.11
182,31,Corinthians - SP,3,20,7,4,Fora,57,25,32,67,72.04
183,32,Corinthians - SP,3,21,7,4,Casa,58,25,33,70,72.92
184,33,Corinthians - SP,3,22,7,4,Fora,61,25,36,73,73.74
185,34,Corinthians - SP,3,23,7,4,Casa,63,26,37,76,74.51
186,35,Corinthians - SP,1,23,8,4,Fora,64,27,37,77,73.33
187,36,Corinthians - SP,3,24,8,4,Casa,70,28,42,80,74.07
