,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Athletico Paranaense - PR,3,1,0,0,Casa,4,1,3,3,100.0
1,2,Athletico Paranaense - PR,0,1,0,1,Fora,5,3,2,3,50.0
2,3,Athletico Paranaense - PR,1,1,1,1,Fora,6,4,2,4,44.44
3,4,Athletico Paranaense - PR,3,2,1,1,Casa,7,4,3,7,58.33
4,5,Athletico Paranaense - PR,0,2,1,2,Casa,7,6,1,7,46.67
5,6,Athletico Paranaense - PR,0,2,1,3,Fora,9,9,0,7,38.89
6,7,Athletico Paranaense - PR,3,3,1,3,Casa,12,9,3,10,47.62
7,8,Athletico Paranaense - PR,0,3,1,4,Fora,12,10,2,10,41.67
8,9,Athletico Paranaense - PR,0,3,1,5,Fora,13,12,1,10,37.04
9,10,Athletico Paranaense - PR,3,4,1,5,Casa,14,12,2,13,43.33
10,11,Athletico Paranaense - PR,3,5,1,5,Fora,18,12,6,16,48.48
11,12,Athletico Paranaense - PR,3,6,1,5,Fora,20,12,8,19,52.78
12,13,Athletico Paranaense - PR,0,6,1,6,Casa,20,13,7,19,48.72
13,14,Athletico Paranaense - PR,0,6,1,7,Fora,21,15,6,19,45.24
14,15,Athletico Paranaense - PR,3,7,1,7,Casa,22,15,7,22,48.89
15,16,Athletico Paranaense - PR,0,7,1,8,Fora,23,17,6,22,45.83
16,17,Athletico Paranaense - PR,3,8,1,8,Casa,24,17,7,25,49.02
17,18,Athletico Paranaense - PR,1,8,2,8,Fora,25,18,7,26,48.15
18,19,Athletico Paranaense - PR,0,8,2,9,Casa,25,19,6,26,45.61
19,20,Athletico Paranaense - PR,1,8,3,9,Fora,26,20,6,27,45.0
20,21,Athletico Paranaense - PR,3,9,3,9,Casa,30,21,9,30,47.62
21,22,Athletico Paranaense - PR,1,9,4,9,Casa,31,22,9,31,46.97
22,23,Athletico Paranaense - PR,3,10,4,9,Fora,33,23,10,34,49.28
23,24,Athletico Paranaense - PR,1,10,5,9,Fora,35,25,10,35,48.61
24,25,Athletico Paranaense - PR,0,10,5,10,Casa,35,27,8,35,46.67
25,26,Athletico Paranaense - PR,3,11,5,10,Fora,37,28,9,38,48.72
26,27,Athletico Paranaense - PR,1,11,6,10,Casa,38,29,9,39,48.15
27,28,Athletico Paranaense - PR,3,12,6,10,Casa,42,30,12,42,50.0
28,29,Athletico Paranaense - PR,1,12,7,10,Fora,43,31,12,43,49.43
29,30,Athletico Paranaense - PR,3,13,7,10,Casa,44,31,13,46,51.11
30,31,Athletico Paranaense - PR,1,13,8,10,Casa,44,31,13,47,50.54
31,32,Athletico Paranaense - PR,3,14,8,10,Fora,45,31,14,50,52.08
32,33,Athletico Paranaense - PR,3,15,8,10,Casa,46,31,15,53,53.54
33,34,Athletico Paranaense - PR,3,16,8,10,Fora,47,31,16,56,54.9
34,35,Athletico Paranaense - PR,3,17,8,10,Casa,49,31,18,59,56.19
35,36,Athletico Paranaense - PR,1,17,9,10,Fora,50,32,18,60,55.56
36,37,Athletico Paranaense - PR,3,18,9,10,Casa,51,32,19,63,56.76
37,38,Athletico Paranaense - PR,1,18,10,10,Fora,51,32,19,64,56.14
38,1,Atlético - MG,3,1,0,0,Casa,2,1,1,3,100.0
39,2,Atlético - MG,3,2,0,0,Fora,4,2,2,6,100.0
40,3,Atlético - MG,3,3,0,0,Fora,6,3,3,9,100.0
41,4,Atlético - MG,0,3,0,1,Casa,6,5,1,9,75.0
42,5,Atlético - MG,3,4,0,1,Casa,8,6,2,12,80.0
43,6,Atlético - MG,0,4,0,2,Fora,8,7,1,12,66.67
44,7,Atlético - MG,3,5,0,2,Casa,12,7,5,15,71.43
45,8,Atlético - MG,0,5,0,3,Fora,13,10,3,15,62.5
46,9,Atlético - MG,1,5,1,3,Casa,14,11,3,16,59.26
47,10,Atlético - MG,3,6,1,3,Fora,16,12,4,19,63.33
48,11,Atlético - MG,1,6,2,3,Casa,18,14,4,20,60.61
49,12,Atlético - MG,1,6,3,3,Fora,18,14,4,21,58.33
50,13,Atlético - MG,3,7,3,3,Casa,20,14,6,24,61.54
51,14,Atlético - MG,3,8,3,3,Casa,22,15,7,27,64.29
52,15,Atlético - MG,0,8,3,4,Fora,22,16,6,27,60.0
53,16,Atlético - MG,0,8,3,5,Casa,22,17,5,27,56.25
54,17,Atlético - MG,0,8,3,6,Fora,22,18,4,27,52.94
55,18,Atlético - MG,0,8,3,7,Fora,23,20,3,27,50.0
56,19,Atlético - MG,0,8,3,8,Casa,24,23,1,27,47.37
