,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Atletico - PR,3,1,0,0,Casa,1,0,1,3,100.0
1,2,Atletico - PR,1,1,1,0,Fora,3,2,1,4,66.67
2,3,Atletico - PR,0,1,1,1,Casa,5,5,0,4,44.44
3,4,Atletico - PR,0,1,1,2,Fora,6,7,-1,4,33.33
4,5,Atletico - PR,1,1,2,2,Casa,7,8,-1,5,33.33
5,6,Atletico - PR,1,1,3,2,Fora,8,9,-1,6,33.33
6,7,Atletico - PR,3,2,3,2,Casa,10,9,1,9,42.86
7,8,Atletico - PR,1,2,4,2,Casa,12,11,1,10,41.67
8,9,Atletico - PR,3,3,4,2,Fora,15,12,3,13,48.15
9,10,Atletico - PR,3,4,4,2,Fora,17,13,4,16,53.33
10,11,Atletico - PR,3,5,4,2,Casa,19,13,6,19,57.58
11,12,Atletico - PR,0,5,4,3,Casa,19,16,3,19,52.78
12,13,Atletico - PR,0,5,4,4,Fora,20,19,1,19,48.72
13,14,Atletico - PR,3,6,4,4,Casa,22,19,3,22,52.38
14,15,Atletico - PR,1,6,5,4,Fora,23,20,3,23,51.11
15,16,Atletico - PR,0,6,5,5,Fora,23,22,1,23,47.92
16,17,Atletico - PR,1,6,6,5,Casa,23,22,1,24,47.06
17,18,Atletico - PR,0,6,6,6,Fora,24,25,-1,24,44.44
18,19,Atletico - PR,1,6,7,6,Casa,25,26,-1,25,43.86
19,20,Atletico - PR,0,6,7,7,Fora,25,27,-2,25,41.67
20,21,Atletico - PR,3,7,7,7,Casa,27,27,0,28,44.44
21,22,Atletico - PR,0,7,7,8,Fora,27,29,-2,28,42.42
22,23,Atletico - PR,0,7,7,9,Casa,27,30,-3,28,40.58
23,24,Atletico - PR,0,7,7,10,Fora,27,33,-6,28,38.89
24,25,Atletico - PR,3,8,7,10,Casa,28,33,-5,31,41.33
25,26,Atletico - PR,0,8,7,11,Fora,28,34,-6,31,39.74
26,27,Atletico - PR,0,8,7,12,Fora,28,35,-7,31,38.27
27,28,Atletico - PR,3,9,7,12,Casa,31,35,-4,34,40.48
28,29,Atletico - PR,3,10,7,12,Casa,33,36,-3,37,42.53
29,30,Atletico - PR,3,11,7,12,Fora,34,36,-2,40,44.44
30,31,Atletico - PR,0,11,7,13,Fora,35,38,-3,40,43.01
31,32,Atletico - PR,3,12,7,13,Casa,36,38,-2,43,44.79
32,33,Atletico - PR,3,13,7,13,Fora,38,38,0,46,46.46
33,34,Atletico - PR,0,13,7,14,Casa,38,39,-1,46,45.1
34,35,Atletico - PR,1,13,8,14,Casa,39,40,-1,47,44.76
35,36,Atletico - PR,3,14,8,14,Fora,41,41,0,50,46.3
36,37,Atletico - PR,3,15,8,14,Casa,42,41,1,53,47.75
37,38,Atletico - PR,1,15,9,14,Fora,43,42,1,54,47.37
38,1,Atlético - MG,1,0,1,0,Casa,0,0,0,1,33.33
39,2,Atlético - MG,0,0,1,1,Fora,1,2,-1,1,16.67
40,3,Atlético - MG,0,0,1,2,Casa,1,3,-2,1,11.11
41,4,Atlético - MG,3,1,1,2,Casa,3,4,-1,4,33.33
42,5,Atlético - MG,3,2,1,2,Fora,5,5,0,7,46.67
43,6,Atlético - MG,3,3,1,2,Fora,8,7,1,10,55.56
44,7,Atlético - MG,1,3,2,2,Casa,8,7,1,11,52.38
45,8,Atlético - MG,3,4,2,2,Casa,10,7,3,14,58.33
46,9,Atlético - MG,0,4,2,3,Fora,11,9,2,14,51.85
47,10,Atlético - MG,1,4,3,3,Fora,12,10,2,15,50.0
48,11,Atlético - MG,1,4,4,3,Casa,13,11,2,16,48.48
49,12,Atlético - MG,0,4,4,4,Fora,14,13,1,16,44.44
