,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Atlético - GO,0,0,0,1,Fora,1,4,-3,0,0.0
1,2,Atlético - GO,0,0,0,2,Casa,1,7,-6,0,0.0
2,3,Atlético - GO,0,0,0,3,Casa,1,8,-7,0,0.0
3,4,Atlético - GO,0,0,0,4,Fora,1,11,-10,0,0.0
4,5,Atlético - GO,3,1,0,4,Casa,4,11,-7,3,20.0
5,6,Atlético - GO,0,1,0,5,Fora,4,13,-9,3,16.67
6,7,Atlético - GO,3,2,0,5,Casa,7,14,-7,6,28.57
7,8,Atlético - GO,0,2,0,6,Casa,7,15,-8,6,25.0
8,9,Atlético - GO,0,2,0,7,Fora,7,16,-9,6,22.22
9,10,Atlético - GO,0,2,0,8,Fora,7,17,-10,6,20.0
10,11,Atlético - GO,1,2,1,8,Casa,8,18,-10,7,21.21
11,12,Atlético - GO,0,2,1,9,Casa,9,20,-11,7,19.44
12,13,Atlético - GO,1,2,2,9,Fora,11,22,-11,8,20.51
13,14,Atlético - GO,0,2,2,10,Casa,12,24,-12,8,19.05
14,15,Atlético - GO,0,2,2,11,Fora,12,28,-16,8,17.78
15,16,Atlético - GO,1,2,3,11,Casa,13,29,-16,9,18.75
16,17,Atlético - GO,3,3,3,11,Fora,15,30,-15,12,23.53
17,18,Atlético - GO,0,3,3,12,Casa,15,31,-16,12,22.22
18,19,Atlético - GO,0,3,3,13,Fora,16,34,-18,12,21.05
19,20,Atlético - GO,3,4,3,13,Casa,17,34,-17,15,25.0
20,21,Atlético - GO,0,4,3,14,Fora,17,36,-19,15,23.81
21,22,Atlético - GO,3,5,3,14,Fora,18,36,-18,18,27.27
22,23,Atlético - GO,1,5,4,14,Casa,19,37,-18,19,27.54
23,24,Atlético - GO,3,6,4,14,Fora,22,38,-16,22,30.56
24,25,Atlético - GO,0,6,4,15,Casa,23,40,-17,22,29.33
25,26,Atlético - GO,3,7,4,15,Fora,25,40,-15,25,32.05
26,27,Atlético - GO,1,7,5,15,Fora,27,42,-15,26,32.1
27,28,Atlético - GO,0,7,5,16,Casa,28,45,-17,26,30.95
28,29,Atlético - GO,0,7,5,17,Casa,28,46,-18,26,29.89
29,30,Atlético - GO,0,7,5,18,Fora,28,47,-19,26,28.89
30,31,Atlético - GO,1,7,6,18,Fora,29,48,-19,27,29.03
31,32,Atlético - GO,0,7,6,19,Casa,29,49,-20,27,28.12
32,33,Atlético - GO,0,7,6,20,Fora,31,52,-21,27,27.27
33,34,Atlético - GO,3,8,6,20,Casa,33,52,-19,30,29.41
34,35,Atlético - GO,3,9,6,20,Fora,35,53,-18,33,31.43
35,36,Atlético - GO,1,9,7,20,Casa,36,54,-18,34,31.48
36,37,Atlético - GO,1,9,8,20,Fora,37,55,-18,35,31.53
37,38,Atlético - GO,1,9,9,20,Casa,38,56,-18,36,31.58
38,1,Atlético - MG,1,0,1,0,Fora,1,1,0,1,33.33
39,2,Atlético - MG,0,0,1,1,Casa,2,3,-1,1,16.67
40,3,Atlético - MG,1,0,2,1,Casa,4,5,-1,2,22.22
41,4,Atlético - MG,1,0,3,1,Fora,4,5,-1,3,25.0
42,5,Atlético - MG,3,1,3,1,Casa,5,5,0,6,40.0
43,6,Atlético - MG,0,1,3,2,Fora,5,7,-2,6,33.33
44,7,Atlético - MG,0,1,3,3,Casa,5,8,-3,6,28.57
45,8,Atlético - MG,3,2,3,3,Fora,7,9,-2,9,37.5
46,9,Atlético - MG,1,2,4,3,Casa,9,11,-2,10,37.04
47,10,Atlético - MG,3,3,4,3,Fora,10,11,-1,13,43.33
48,11,Atlético - MG,3,4,4,3,Casa,13,12,1,16,48.48
49,12,Atlético - MG,1,4,5,3,Fora,14,13,1,17,47.22
50,13,Atlético - MG,0,4,5,4,Casa,14,14,0,17,43.59
51,14,Atlético - MG,3,5,5,4,Fora,16,15,1,20,47.62
52,15,Atlético - MG,0,5,5,5,Casa,16,17,-1,20,44.44
53,16,Atlético - MG,0,5,5,6,Casa,17,19,-2,20,41.67
54,17,Atlético - MG,3,6,5,6,Fora,19,19,0,23,45.1
55,18,Atlético - MG,0,6,5,7,Casa,19,21,-2,23,42.59
56,19,Atlético - MG,0,6,5,8,Fora,19,23,-4,23,40.35
57,20,Atlético - MG,3,7,5,8,Casa,21,23,-2,26,43.33
58,21,Atlético - MG,0,7,5,9,Fora,22,25,-3,26,41.27
59,22,Atlético - MG,3,8,5,9,Fora,24,26,-2,29,43.94
60,23,Atlético - MG,1,8,6,9,Casa,25,27,-2,30,43.48
61,24,Atlético - MG,1,8,7,9,Fora,26,28,-2,31,43.06
62,25,Atlético - MG,0,8,7,10,Casa,27,31,-4,31,41.33
63,26,Atlético - MG,3,9,7,10,Fora,29,31,-2,34,43.59
64,27,Atlético - MG,3,10,7,10,Casa,30,31,-1,37,45.68
65,28,Atlético - MG,1,10,8,10,Fora,31,32,-1,38,45.24
66,29,Atlético - MG,0,10,8,11,Casa,33,35,-2,38,43.68
67,30,Atlético - MG,3,11,8,11,Fora,36,36,0,41,45.56
68,31,Atlético - MG,1,11,9,11,Casa,36,36,0,42,45.16
69,32,Atlético - MG,0,11,9,12,Fora,37,39,-2,42,43.75
70,33,Atlético - MG,3,12,9,12,Casa,40,41,-1,45,45.45
71,34,Atlético - MG,1,12,10,12,Fora,42,43,-1,46,45.1
72,35,Atlético - MG,1,12,11,12,Fora,43,44,-1,47,44.76
73,36,Atlético - MG,3,13,11,12,Casa,46,44,2,50,46.3
74,37,Atlético - MG,1,13,12,12,Fora,48,46,2,51,45.95
75,38,Atlético - MG,3,14,12,12,Casa,52,49,3,54,47.37
76,1,Atlético - PR,0,0,0,1,Fora,2,6,-4,0,0.0
77,2,Atlético - PR,0,0,0,2,Casa,2,8,-6,0,0.0
78,3,Atlético - PR,1,0,1,2,Casa,3,9,-6,1,11.11
79,4,Atlético - PR,0,0,1,3,Fora,3,10,-7,1,8.33
80,5,Atlético - PR,1,0,2,3,Fora,4,11,-7,2,13.33
81,6,Atlético - PR,0,0,2,4,Casa,4,13,-9,2,11.11
82,7,Atlético - PR,3,1,2,4,Fora,5,13,-8,5,23.81
83,8,Atlético - PR,3,2,2,4,Fora,6,13,-7,8,33.33
84,9,Atlético - PR,3,3,2,4,Casa,7,13,-6,11,40.74
85,10,Atlético - PR,3,4,2,4,Casa,11,14,-3,14,46.67
86,11,Atlético - PR,0,4,2,5,Fora,11,15,-4,14,42.42
87,12,Atlético - PR,1,4,3,5,Fora,12,16,-4,15,41.67
88,13,Atlético - PR,0,4,3,6,Casa,12,18,-6,15,38.46
89,14,Atlético - PR,1,4,4,6,Fora,14,20,-6,16,38.1
90,15,Atlético - PR,1,4,5,6,Casa,14,20,-6,17,37.78
91,16,Atlético - PR,0,4,5,7,Casa,14,22,-8,17,35.42
92,17,Atlético - PR,3,5,5,7,Fora,15,22,-7,20,39.22
93,18,Atlético - PR,3,6,5,7,Casa,20,22,-2,23,42.59
94,19,Atlético - PR,3,7,5,7,Fora,21,22,-1,26,45.61
