,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Athletico Paranaense - PR,3,1,0,0,Fora,2,0,2,3,100.0
1,2,Athletico Paranaense - PR,3,2,0,0,Casa,4,1,3,6,100.0
2,3,Athletico Paranaense - PR,0,2,0,1,Fora,5,4,1,6,66.67
3,4,Athletico Paranaense - PR,0,2,0,2,Casa,5,5,0,6,50.0
4,5,Athletico Paranaense - PR,0,2,0,3,Casa,5,6,-1,6,40.0
5,6,Athletico Paranaense - PR,3,3,0,3,Fora,7,6,1,9,50.0
6,7,Athletico Paranaense - PR,1,3,1,3,Casa,8,7,1,10,47.62
7,8,Athletico Paranaense - PR,0,3,1,4,Fora,8,8,0,10,41.67
8,9,Athletico Paranaense - PR,1,3,2,4,Casa,9,9,0,11,40.74
9,10,Athletico Paranaense - PR,3,4,2,4,Casa,10,9,1,14,46.67
10,11,Athletico Paranaense - PR,0,4,2,5,Fora,10,10,0,14,42.42
11,12,Athletico Paranaense - PR,3,5,2,5,Casa,11,10,1,17,47.22
12,13,Athletico Paranaense - PR,0,5,2,6,Fora,12,13,-1,17,43.59
13,14,Athletico Paranaense - PR,1,5,3,6,Casa,12,13,-1,18,42.86
14,15,Athletico Paranaense - PR,0,5,3,7,Fora,13,15,-2,18,40.0
15,16,Athletico Paranaense - PR,0,5,3,8,Casa,13,16,-3,18,37.5
16,17,Athletico Paranaense - PR,1,5,4,8,Fora,14,17,-3,19,37.25
17,18,Athletico Paranaense - PR,0,5,4,9,Casa,15,19,-4,19,35.19
18,19,Athletico Paranaense - PR,0,5,4,10,Fora,15,20,-5,19,33.33
19,20,Athletico Paranaense - PR,3,6,4,10,Casa,17,21,-4,22,36.67
20,21,Athletico Paranaense - PR,3,7,4,10,Fora,18,21,-3,25,39.68
21,22,Athletico Paranaense - PR,3,8,4,10,Casa,19,21,-2,28,42.42
22,23,Athletico Paranaense - PR,0,8,4,11,Fora,19,24,-5,28,40.58
23,24,Athletico Paranaense - PR,0,8,4,12,Fora,20,27,-7,28,38.89
24,25,Athletico Paranaense - PR,0,8,4,13,Casa,20,28,-8,28,37.33
25,26,Athletico Paranaense - PR,3,9,4,13,Fora,21,28,-7,31,39.74
26,27,Athletico Paranaense - PR,3,10,4,13,Casa,24,28,-4,34,41.98
27,28,Athletico Paranaense - PR,3,11,4,13,Fora,26,28,-2,37,44.05
28,29,Athletico Paranaense - PR,1,11,5,13,Fora,26,28,-2,38,43.68
29,30,Athletico Paranaense - PR,1,11,6,13,Casa,27,29,-2,39,43.33
30,31,Athletico Paranaense - PR,0,11,6,14,Fora,27,30,-3,39,41.94
31,32,Athletico Paranaense - PR,3,12,6,14,Casa,29,31,-2,42,43.75
32,33,Athletico Paranaense - PR,3,13,6,14,Fora,31,31,0,45,45.45
33,34,Athletico Paranaense - PR,1,13,7,14,Casa,31,31,0,46,45.1
34,35,Athletico Paranaense - PR,1,13,8,14,Fora,34,34,0,47,44.76
35,36,Athletico Paranaense - PR,3,14,8,14,Casa,36,35,1,50,46.3
36,37,Athletico Paranaense - PR,0,14,8,15,Fora,36,36,0,50,45.05
37,38,Athletico Paranaense - PR,3,15,8,15,Casa,38,36,2,53,46.49
38,1,Atlético - GO,1,0,1,0,Fora,0,0,0,1,33.33
39,2,Atlético - GO,3,1,1,0,Casa,3,0,3,4,66.67
40,3,Atlético - GO,1,1,2,0,Casa,4,1,3,5,55.56
41,4,Atlético - GO,0,1,2,1,Fora,4,4,0,5,41.67
42,5,Atlético - GO,0,1,2,2,Fora,4,6,-2,5,33.33
43,6,Atlético - GO,0,1,2,3,Casa,4,8,-4,5,27.78
44,7,Atlético - GO,1,1,3,3,Fora,5,9,-4,6,28.57
45,8,Atlético - GO,1,1,4,3,Casa,6,10,-4,7,29.17
46,9,Atlético - GO,3,2,4,3,Fora,8,11,-3,10,37.04
47,10,Atlético - GO,3,3,4,3,Fora,9,11,-2,13,43.33
48,11,Atlético - GO,0,3,4,4,Casa,12,15,-3,13,39.39
49,12,Atlético - GO,1,3,5,4,Casa,13,16,-3,14,38.89
50,13,Atlético - GO,1,3,6,4,Fora,13,16,-3,15,38.46
51,14,Atlético - GO,0,3,6,5,Fora,13,19,-6,15,35.71
52,15,Atlético - GO,3,4,6,5,Casa,15,20,-5,18,40.0
53,16,Atlético - GO,3,5,6,5,Fora,16,20,-4,21,43.75
54,17,Atlético - GO,1,5,7,5,Casa,17,21,-4,22,43.14
55,18,Atlético - GO,0,5,7,6,Casa,17,24,-7,22,40.74
56,19,Atlético - GO,0,5,7,7,Fora,17,25,-8,22,38.6
57,20,Atlético - GO,1,5,8,7,Casa,18,26,-8,23,38.33
58,21,Atlético - GO,1,5,9,7,Fora,19,27,-8,24,38.1
