,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Cuiabá - MT,2,Juventude - RS,2,1,1
1,1,Bahia - BA,3,Santos - SP,0,3,0
2,1,São Paulo - SP,0,Fluminense - RJ,0,1,1
3,1,Atlético Mineiro - MG,1,Fortaleza - CE,2,0,3
4,1,Flamengo - RJ,1,Palmeiras - SP,0,3,0
5,1,Ceará - CE,3,Grêmio - RS,2,3,0
6,1,Chapecoense - SC,0,Red Bull Bragantino - SP,3,0,3
7,1,Corinthians - SP,0,Atlético - GO,1,0,3
8,1,Athletico Paranaense - PR,1,America - MG,0,3,0
9,1,Internacional - RS,2,Sport - PE,2,1,1
10,2,Atlético - GO,2,São Paulo - SP,0,3,0
11,2,Red Bull Bragantino - SP,3,Bahia - BA,3,1,1
12,2,Santos - SP,3,Ceará - CE,1,3,0
13,2,Fluminense - RJ,1,Cuiabá - MT,0,3,0
14,2,America - MG,0,Corinthians - SP,1,0,3
15,2,Fortaleza - CE,5,Internacional - RS,1,3,0
16,2,Palmeiras - SP,3,Chapecoense - SC,1,3,0
17,2,Juventude - RS,0,Athletico Paranaense - PR,3,0,3
18,2,Sport - PE,0,Atlético Mineiro - MG,1,0,3
19,2,Grêmio - RS,2,Flamengo - RJ,2,1,1
20,3,Palmeiras - SP,1,Corinthians - SP,1,1,1
21,3,Santos - SP,0,Juventude - RS,0,1,1
22,3,Flamengo - RJ,2,America - MG,0,3,0
23,3,Atlético Mineiro - MG,1,São Paulo - SP,0,3,0
24,3,Grêmio - RS,0,Athletico Paranaense - PR,1,0,3
25,3,Red Bull Bragantino - SP,2,Fluminense - RJ,2,1,1
26,3,Chapecoense - SC,0,Ceará - CE,0,1,1
27,3,Bahia - BA,0,Internacional - RS,1,0,3
28,3,Fortaleza - CE,1,Sport - PE,0,3,0
29,3,Cuiabá - MT,2,Atlético - GO,1,3,0
30,4,São Paulo - SP,1,Chapecoense - SC,1,1,1
31,4,Internacional - RS,0,Atlético Mineiro - MG,1,0,3
32,4,Corinthians - SP,1,Red Bull Bragantino - SP,2,0,3
