,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Vasco da Gama - RJ,1,Portuguesa - SP,0,3,0
1,1,Vitória - BA,2,Internacional - RS,2,1,1
2,1,Corinthians - SP,1,Botafogo - RJ,1,1,1
3,1,Grêmio - RS,2,Náutico - PE,0,3,0
4,1,Ponte Preta - SP,0,São Paulo - SP,2,0,3
5,1,Criciuma - SC,3,Bahia - BA,1,3,0
6,1,Santos - SP,0,Flamengo - RJ,0,1,1
7,1,Fluminense - RJ,2,Atlético Paranaense - PR,1,3,0
8,1,Cruzeiro - MG,5,Goiás - GO,0,3,0
9,1,Coritiba - PR,2,Atlético - MG,1,3,0
10,2,Atlético Paranaense - PR,2,Cruzeiro - MG,2,1,1
11,2,Botafogo - RJ,2,Santos - SP,1,3,0
12,2,São Paulo - SP,5,Vasco da Gama - RJ,1,3,0
13,2,Flamengo - RJ,0,Ponte Preta - SP,2,0,3
14,2,Bahia - BA,0,Coritiba - PR,0,1,1
15,2,Náutico - PE,0,Vitória - BA,3,0,3
16,2,Goiás - GO,1,Corinthians - SP,1,1,1
17,2,Internacional - RS,2,Criciuma - SC,0,3,0
18,2,Atlético - MG,2,Grêmio - RS,0,3,0
19,2,Portuguesa - SP,2,Fluminense - RJ,1,3,0
20,3,Atlético Paranaense - PR,2,Flamengo - RJ,2,1,1
21,3,Santos - SP,1,Grêmio - RS,1,1,1
22,3,Botafogo - RJ,2,Cruzeiro - MG,1,3,0
23,3,Goiás - GO,1,Coritiba - PR,1,1,1
24,3,Vitória - BA,2,Vasco da Gama - RJ,0,3,0
25,3,Corinthians - SP,1,Ponte Preta - SP,0,3,0
26,3,Fluminense - RJ,3,Criciuma - SC,0,3,0
27,3,Internacional - RS,1,Bahia - BA,2,0,3
28,3,Náutico - PE,2,Portuguesa - SP,2,1,1
29,3,Atlético - MG,0,São Paulo - SP,0,1,1
30,4,Portuguesa - SP,1,Internacional - RS,1,1,1
31,4,São Paulo - SP,0,Goiás - GO,1,0,3
32,4,Criciuma - SC,3,Santos - SP,1,3,0
33,4,Ponte Preta - SP,3,Atlético Paranaense - PR,4,0,3
34,4,Grêmio - RS,1,Vitória - BA,0,3,0
35,4,Vasco da Gama - RJ,2,Atlético - MG,0,3,0
36,4,Flamengo - RJ,0,Náutico - PE,1,0,3
37,4,Bahia - BA,2,Botafogo - RJ,1,3,0
38,4,Cruzeiro - MG,1,Corinthians - SP,0,3,0
39,4,Coritiba - PR,2,Fluminense - RJ,1,3,0
40,5,Cruzeiro - MG,2,Internacional - RS,2,1,1
