,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Palmeiras - SP,1,Portuguesa - SP,1,1,1
1,1,Sport - PE,1,Flamengo - RJ,1,1,1
2,1,Figueirense - SC,2,Náutico - PE,1,3,0
3,1,Ponte Preta - SP,0,Atlético - MG,1,0,3
4,1,Corinthians - SP,0,Fluminense - RJ,1,0,3
5,1,Botafogo - RJ,4,São Paulo - SP,2,3,0
6,1,Internacional - RS,2,Coritiba - PR,0,3,0
7,1,Vasco da Gama - RJ,2,Grêmio - RS,1,3,0
8,1,Bahia - BA,0,Santos - SP,0,1,1
9,1,Cruzeiro - MG,0,Atlético - GO,0,1,1
10,2,Atlético - GO,1,Ponte Preta - SP,1,1,1
11,2,Flamengo - RJ,3,Internacional - RS,3,1,1
12,2,Portuguesa - SP,0,Vasco da Gama - RJ,1,0,3
13,2,Náutico - PE,0,Cruzeiro - MG,0,1,1
14,2,Santos - SP,0,Sport - PE,0,1,1
15,2,Atlético - MG,1,Corinthians - SP,0,3,0
16,2,Coritiba - PR,2,Botafogo - RJ,3,0,3
17,2,São Paulo - SP,1,Bahia - BA,0,3,0
18,2,Grêmio - RS,1,Palmeiras - SP,0,3,0
19,2,Fluminense - RJ,2,Figueirense - SC,2,1,1
20,3,Atlético - GO,0,Grêmio - RS,1,0,3
21,3,Sport - PE,2,Palmeiras - SP,1,3,0
22,3,Vasco da Gama - RJ,4,Náutico - PE,2,3,0
23,3,Atlético - MG,1,Bahia - BA,1,1,1
24,3,Coritiba - PR,2,Portuguesa - SP,0,3,0
25,3,Ponte Preta - SP,2,Flamengo - RJ,2,1,1
26,3,Internacional - RS,1,São Paulo - SP,0,3,0
27,3,Santos - SP,1,Fluminense - RJ,1,1,1
28,3,Corinthians - SP,1,Figueirense - SC,1,1,1
29,3,Botafogo - RJ,2,Cruzeiro - MG,3,0,3
30,4,Flamengo - RJ,3,Coritiba - PR,1,3,0
31,4,Palmeiras - SP,0,Atlético - MG,1,0,3
32,4,Portuguesa - SP,2,Atlético - GO,0,3,0
33,4,Grêmio - RS,2,Corinthians - SP,0,3,0
34,4,Fluminense - RJ,0,Internacional - RS,0,1,1
35,4,Bahia - BA,1,Vasco da Gama - RJ,2,0,3
36,4,Náutico - PE,3,Botafogo - RJ,2,3,0
37,4,Figueirense - SC,0,Ponte Preta - SP,0,1,1
38,4,Cruzeiro - MG,1,Sport - PE,0,3,0
39,4,São Paulo - SP,1,Santos - SP,0,3,0
40,5,Internacional - RS,1,Botafogo - RJ,2,0,3
41,5,Cruzeiro - MG,1,Figueirense - SC,0,3,0
42,5,Fluminense - RJ,4,Portuguesa - SP,1,3,0
43,5,São Paulo - SP,1,Atlético - MG,0,3,0
44,5,Palmeiras - SP,1,Vasco da Gama - RJ,1,1,1
45,5,Bahia - BA,2,Sport - PE,1,3,0
46,5,Flamengo - RJ,1,Santos - SP,0,3,0
47,5,Náutico - PE,1,Grêmio - RS,0,3,0
48,5,Coritiba - PR,3,Atlético - GO,0,3,0
49,5,Ponte Preta - SP,1,Corinthians - SP,0,3,0
50,6,Vasco da Gama - RJ,1,Cruzeiro - MG,3,0,3
51,6,Portuguesa - SP,1,São Paulo - SP,0,3,0
52,6,Atlético - MG,5,Náutico - PE,1,3,0
53,6,Corinthians - SP,2,Palmeiras - SP,1,3,0
54,6,Grêmio - RS,2,Flamengo - RJ,0,3,0
55,6,Figueirense - SC,1,Bahia - BA,1,1,1
56,6,Sport - PE,0,Internacional - RS,2,0,3
57,6,Botafogo - RJ,1,Ponte Preta - SP,2,0,3
58,6,Santos - SP,2,Coritiba - PR,2,1,1
59,6,Atlético - GO,1,Fluminense - RJ,4,0,3
60,7,Náutico - PE,0,Fluminense - RJ,2,0,3
61,7,Cruzeiro - MG,2,São Paulo - SP,3,0,3
62,7,Vasco da Gama - RJ,3,Ponte Preta - SP,2,3,0
63,7,Coritiba - PR,2,Sport - PE,3,0,3
64,7,Portuguesa - SP,0,Santos - SP,0,1,1
65,7,Bahia - BA,1,Internacional - RS,1,1,1
66,7,Grêmio - RS,0,Atlético - MG,1,0,3
67,7,Palmeiras - SP,3,Figueirense - SC,1,3,0
68,7,Flamengo - RJ,3,Atlético - GO,2,3,0
69,7,Corinthians - SP,1,Botafogo - RJ,3,0,3
70,8,Botafogo - RJ,3,Bahia - BA,0,3,0
71,8,Internacional - RS,2,Cruzeiro - MG,1,3,0
72,8,Atlético - GO,0,Náutico - PE,1,0,3
73,8,Figueirense - SC,1,Vasco da Gama - RJ,1,1,1
74,8,Fluminense - RJ,1,Flamengo - RJ,0,3,0
75,8,Santos - SP,4,Grêmio - RS,2,3,0
76,8,São Paulo - SP,3,Coritiba - PR,1,3,0
77,8,Ponte Preta - SP,1,Palmeiras - SP,0,3,0
78,8,Sport - PE,1,Corinthians - SP,1,1,1
79,8,Atlético - MG,2,Portuguesa - SP,0,3,0
80,9,Figueirense - SC,3,Atlético - MG,4,0,3
81,9,Corinthians - SP,2,Náutico - PE,1,3,0
82,9,Ponte Preta - SP,4,Coritiba - PR,1,3,0
83,9,Bahia - BA,1,Flamengo - RJ,2,0,3
84,9,Internacional - RS,0,Santos - SP,0,1,1
85,9,Cruzeiro - MG,1,Grêmio - RS,3,0,3
86,9,Botafogo - RJ,1,Fluminense - RJ,1,1,1
87,9,Palmeiras - SP,1,São Paulo - SP,1,1,1
88,9,Vasco da Gama - RJ,1,Atlético - GO,0,3,0
89,9,Sport - PE,2,Portuguesa - SP,1,3,0
90,10,Santos - SP,0,Botafogo - RJ,0,1,1
91,10,Grêmio - RS,3,Sport - PE,1,3,0
92,10,Portuguesa - SP,0,Cruzeiro - MG,2,0,3
93,10,Náutico - PE,3,Ponte Preta - SP,0,3,0
94,10,São Paulo - SP,0,Vasco da Gama - RJ,1,0,3
95,10,Atlético - MG,3,Internacional - RS,1,3,0
96,10,Flamengo - RJ,0,Corinthians - SP,3,0,3
97,10,Fluminense - RJ,4,Bahia - BA,0,3,0
98,10,Coritiba - PR,1,Palmeiras - SP,1,1,1
99,10,Atlético - GO,3,Figueirense - SC,2,3,0
100,11,Sport - PE,1,Atlético - MG,4,0,3
101,11,Vasco da Gama - RJ,2,Santos - SP,0,3,0
102,11,Corinthians - SP,1,Portuguesa - SP,1,1,1
103,11,Internacional - RS,4,Atlético - GO,1,3,0
104,11,Cruzeiro - MG,1,Flamengo - RJ,0,3,0
105,11,Figueirense - SC,0,São Paulo - SP,2,0,3
106,11,Palmeiras - SP,3,Náutico - PE,0,3,0
107,11,Bahia - BA,2,Coritiba - PR,2,1,1
108,11,Botafogo - RJ,0,Grêmio - RS,1,0,3
109,11,Ponte Preta - SP,1,Fluminense - RJ,2,0,3
110,12,Figueirense - SC,0,Internacional - RS,1,0,3
111,12,Ponte Preta - SP,1,Sport - PE,1,1,1
112,12,Vasco da Gama - RJ,1,Botafogo - RJ,0,3,0
113,12,Náutico - PE,3,Coritiba - PR,4,0,3
114,12,Corinthians - SP,2,Cruzeiro - MG,0,3,0
115,12,Grêmio - RS,1,Fluminense - RJ,0,3,0
116,12,Atlético - GO,4,São Paulo - SP,3,3,0
117,12,Atlético - MG,2,Santos - SP,0,3,0
118,12,Flamengo - RJ,0,Portuguesa - SP,0,1,1
119,12,Palmeiras - SP,0,Bahia - BA,2,0,3
120,13,Coritiba - PR,2,Grêmio - RS,1,3,0
121,13,Internacional - RS,0,Vasco da Gama - RJ,0,1,1
122,13,Botafogo - RJ,1,Figueirense - SC,0,3,0
123,13,Sport - PE,0,Atlético - GO,0,1,1
124,13,São Paulo - SP,4,Flamengo - RJ,1,3,0
