,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Atlético - MG,0,0,0,1,Fora,1,2,-1,0,0.0
1,2,Atlético - MG,3,1,0,1,Casa,3,2,1,3,50.0
2,3,Atlético - MG,1,1,1,1,Casa,3,2,1,4,44.44
3,4,Atlético - MG,0,1,1,2,Fora,3,4,-1,4,33.33
4,5,Atlético - MG,0,1,1,3,Fora,3,5,-2,4,26.67
5,6,Atlético - MG,3,2,1,3,Casa,6,7,-1,7,38.89
6,7,Atlético - MG,3,3,1,3,Fora,7,7,0,10,47.62
7,8,Atlético - MG,3,4,1,3,Casa,11,7,4,13,54.17
8,9,Atlético - MG,0,4,1,4,Fora,12,11,1,13,48.15
9,10,Atlético - MG,0,4,1,5,Casa,13,13,0,13,43.33
10,11,Atlético - MG,0,4,1,6,Fora,13,16,-3,13,39.39
11,12,Atlético - MG,1,4,2,6,Casa,15,18,-3,14,38.89
12,13,Atlético - MG,1,4,3,6,Fora,15,18,-3,15,38.46
13,14,Atlético - MG,3,5,3,6,Casa,17,18,-1,18,42.86
14,15,Atlético - MG,1,5,4,6,Fora,17,18,-1,19,42.22
15,16,Atlético - MG,3,6,4,6,Casa,19,19,0,22,45.83
16,17,Atlético - MG,1,6,5,6,Fora,19,19,0,23,45.1
17,18,Atlético - MG,1,6,6,6,Casa,21,21,0,24,44.44
18,19,Atlético - MG,1,6,7,6,Fora,22,22,0,25,43.86
19,20,Atlético - MG,3,7,7,6,Casa,25,22,3,28,46.67
20,21,Atlético - MG,3,8,7,6,Fora,26,22,4,31,49.21
21,22,Atlético - MG,0,8,7,7,Fora,26,23,3,31,46.97
22,23,Atlético - MG,3,9,7,7,Casa,28,24,4,34,49.28
23,24,Atlético - MG,3,10,7,7,Casa,31,25,6,37,51.39
24,25,Atlético - MG,1,10,8,7,Fora,32,26,6,38,50.67
25,26,Atlético - MG,1,10,9,7,Casa,32,26,6,39,50.0
26,27,Atlético - MG,0,10,9,8,Fora,32,28,4,39,48.15
27,28,Atlético - MG,3,11,9,8,Casa,33,28,5,42,50.0
28,29,Atlético - MG,0,11,9,9,Fora,33,29,4,42,48.28
29,30,Atlético - MG,3,12,9,9,Casa,34,29,5,45,50.0
30,31,Atlético - MG,0,12,9,10,Fora,34,30,4,45,48.39
