,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Cruzeiro - MG,0,Grêmio - RS,1,0,3
1,1,Vitória - BA,2,Flamengo - RJ,2,1,1
2,1,Santos - SP,2,Ceará - CE,0,3,0
3,1,America Fc - MG,3,Sport - PE,0,3,0
4,1,Vasco da Gama - RJ,2,Atlético - MG,1,3,0
5,1,Corinthians - SP,2,Fluminense - RJ,1,3,0
6,1,Internacional - RS,2,Bahia - BA,0,3,0
7,1,Athletico Paranaense - PR,5,Chapecoense - SC,1,3,0
8,1,Botafogo - RJ,1,Palmeiras - SP,1,1,1
9,1,São Paulo - SP,1,Paraná - PR,0,3,0
10,2,Bahia - BA,1,Santos - SP,0,3,0
11,2,Flamengo - RJ,2,America Fc - MG,0,3,0
12,2,Paraná - PR,0,Corinthians - SP,4,0,3
13,2,Chapecoense - SC,1,Vasco da Gama - RJ,1,1,1
14,2,Fluminense - RJ,1,Cruzeiro - MG,0,3,0
15,2,Ceará - CE,0,São Paulo - SP,0,1,1
16,2,Palmeiras - SP,1,Internacional - RS,0,3,0
17,2,Atlético - MG,2,Vitória - BA,1,3,0
18,2,Grêmio - RS,0,Athletico Paranaense - PR,0,1,1
19,2,Sport - PE,1,Botafogo - RJ,1,1,1
20,3,Botafogo - RJ,2,Grêmio - RS,1,3,0
21,3,Palmeiras - SP,0,Chapecoense - SC,0,1,1
22,3,Ceará - CE,0,Flamengo - RJ,3,0,3
23,3,Bahia - BA,0,Athletico Paranaense - PR,0,1,1
24,3,Fluminense - RJ,1,São Paulo - SP,1,1,1
25,3,Paraná - PR,1,Sport - PE,2,0,3
26,3,Atlético - MG,1,Corinthians - SP,0,3,0
27,3,Internacional - RS,0,Cruzeiro - MG,0,1,1
28,3,America Fc - MG,2,Vitória - BA,1,3,0
29,3,Santos - SP,1,Vasco da Gama - RJ,1,1,1
30,4,Vasco da Gama - RJ,4,America Fc - MG,1,3,0
31,4,São Paulo - SP,2,Atlético - MG,2,1,1
32,4,Corinthians - SP,1,Ceará - CE,1,1,1
33,4,Flamengo - RJ,2,Internacional - RS,0,3,0
34,4,Vitória - BA,1,Fluminense - RJ,2,0,3
35,4,Athletico Paranaense - PR,1,Palmeiras - SP,3,0,3
36,4,Cruzeiro - MG,1,Botafogo - RJ,0,3,0
37,4,Sport - PE,2,Bahia - BA,0,3,0
38,4,Grêmio - RS,5,Santos - SP,1,3,0
39,4,Chapecoense - SC,1,Paraná - PR,1,1,1
40,5,Grêmio - RS,0,Internacional - RS,0,1,1
41,5,Cruzeiro - MG,2,Sport - PE,0,3,0
42,5,Athletico Paranaense - PR,1,Atlético - MG,2,0,3
43,5,Chapecoense - SC,3,Flamengo - RJ,2,3,0
44,5,Bahia - BA,2,São Paulo - SP,2,1,1
45,5,Vasco da Gama - RJ,2,Vitória - BA,3,0,3
46,5,Corinthians - SP,1,Palmeiras - SP,0,3,0
47,5,Santos - SP,3,Paraná - PR,1,3,0
48,5,Ceará - CE,2,America Fc - MG,2,1,1
49,5,Botafogo - RJ,2,Fluminense - RJ,1,3,0
50,6,Atlético - MG,1,Cruzeiro - MG,0,3,0
51,6,Flamengo - RJ,1,Vasco da Gama - RJ,1,1,1
52,6,Palmeiras - SP,3,Bahia - BA,0,3,0
53,6,Vitória - BA,2,Ceará - CE,1,3,0
54,6,Paraná - PR,0,Grêmio - RS,0,1,1
55,6,America Fc - MG,1,Botafogo - RJ,0,3,0
56,6,São Paulo - SP,1,Santos - SP,0,3,0
57,6,Sport - PE,1,Corinthians - SP,1,1,1
58,6,Fluminense - RJ,2,Athletico Paranaense - PR,0,3,0
59,6,Internacional - RS,3,Chapecoense - SC,0,3,0
60,7,Fluminense - RJ,3,Chapecoense - SC,1,3,0
61,7,Palmeiras - SP,2,Sport - PE,3,0,3
62,7,Atlético - MG,0,Flamengo - RJ,1,0,3
63,7,Paraná - PR,0,Athletico Paranaense - PR,0,1,1
64,7,Santos - SP,0,Cruzeiro - MG,1,0,3
65,7,Internacional - RS,2,Corinthians - SP,1,3,0
66,7,Botafogo - RJ,1,Vitória - BA,1,1,1
67,7,Bahia - BA,3,Vasco da Gama - RJ,0,3,0
68,7,Ceará - CE,0,Grêmio - RS,1,0,3
69,7,America Fc - MG,1,São Paulo - SP,3,0,3
70,8,Sport - PE,3,Atlético - MG,2,3,0
71,8,Vitória - BA,2,Internacional - RS,3,0,3
72,8,Vasco da Gama - RJ,1,Paraná - PR,0,3,0
73,8,São Paulo - SP,3,Botafogo - RJ,2,3,0
74,8,Chapecoense - SC,2,Ceará - CE,0,3,0
75,8,Grêmio - RS,0,Fluminense - RJ,0,1,1
76,8,Cruzeiro - MG,1,Palmeiras - SP,0,3,0
77,8,Flamengo - RJ,2,Bahia - BA,0,3,0
78,8,Corinthians - SP,1,America Fc - MG,0,3,0
79,8,Athletico Paranaense - PR,2,Santos - SP,0,3,0
80,9,Atlético - MG,3,Chapecoense - SC,3,1,1
81,9,Internacional - RS,0,Sport - PE,0,1,1
82,9,Vasco da Gama - RJ,1,Botafogo - RJ,2,0,3
83,9,Palmeiras - SP,3,São Paulo - SP,1,3,0
84,9,America Fc - MG,3,Athletico Paranaense - PR,1,3,0
85,9,Bahia - BA,0,Grêmio - RS,2,0,3
86,9,Flamengo - RJ,1,Corinthians - SP,0,3,0
87,9,Santos - SP,5,Vitória - BA,2,3,0
88,9,Ceará - CE,0,Cruzeiro - MG,1,0,3
89,9,Paraná - PR,2,Fluminense - RJ,1,3,0
90,10,São Paulo - SP,0,Internacional - RS,0,1,1
91,10,Vitória - BA,1,Chapecoense - SC,0,3,0
92,10,Botafogo - RJ,0,Ceará - CE,0,1,1
93,10,Corinthians - SP,1,Santos - SP,1,1,1
94,10,Sport - PE,1,Athletico Paranaense - PR,0,3,0
95,10,Cruzeiro - MG,1,Vasco da Gama - RJ,1,1,1
96,10,Grêmio - RS,0,Palmeiras - SP,2,0,3
97,10,Fluminense - RJ,0,Flamengo - RJ,2,0,3
98,10,Paraná - PR,1,Bahia - BA,0,3,0
99,10,America Fc - MG,1,Atlético - MG,3,0,3
100,11,Athletico Paranaense - PR,0,São Paulo - SP,1,0,3
101,11,Chapecoense - SC,2,Cruzeiro - MG,0,3,0
