,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,America Fc - MG,3,1,0,0,Casa,3,0,3,3,100.0
1,2,America Fc - MG,0,1,0,1,Fora,3,2,1,3,50.0
2,3,America Fc - MG,3,2,0,1,Casa,5,3,2,6,66.67
3,4,America Fc - MG,0,2,0,2,Fora,6,7,-1,6,50.0
4,5,America Fc - MG,1,2,1,2,Fora,8,9,-1,7,46.67
5,6,America Fc - MG,3,3,1,2,Casa,9,9,0,10,55.56
6,7,America Fc - MG,0,3,1,3,Casa,10,12,-2,10,47.62
7,8,America Fc - MG,0,3,1,4,Fora,10,13,-3,10,41.67
8,9,America Fc - MG,3,4,1,4,Casa,13,14,-1,13,48.15
9,10,America Fc - MG,0,4,1,5,Casa,14,17,-3,13,43.33
10,11,America Fc - MG,0,4,1,6,Fora,14,18,-4,13,39.39
11,12,America Fc - MG,1,4,2,6,Casa,14,18,-4,14,38.89
12,13,America Fc - MG,0,4,2,7,Fora,15,21,-6,14,35.9
13,14,America Fc - MG,0,4,2,8,Fora,15,22,-7,14,33.33
14,15,America Fc - MG,3,5,2,8,Casa,17,23,-6,17,37.78
15,16,America Fc - MG,3,6,2,8,Fora,18,23,-5,20,41.67
16,17,America Fc - MG,1,6,3,8,Casa,18,23,-5,21,41.18
17,18,America Fc - MG,0,6,3,9,Fora,18,24,-6,21,38.89
18,19,America Fc - MG,1,6,4,9,Casa,18,24,-6,22,38.6
19,20,America Fc - MG,3,7,4,9,Fora,20,24,-4,25,41.67
20,21,America Fc - MG,1,7,5,9,Casa,22,26,-4,26,41.27
21,22,America Fc - MG,0,7,5,10,Fora,22,27,-5,26,39.39
22,23,America Fc - MG,3,8,5,10,Casa,24,28,-4,29,42.03
23,24,America Fc - MG,1,8,6,10,Casa,24,28,-4,30,41.67
24,25,America Fc - MG,0,8,6,11,Fora,24,29,-5,30,40.0
25,26,America Fc - MG,1,8,7,11,Fora,25,30,-5,31,39.74
26,27,America Fc - MG,1,8,8,11,Casa,25,30,-5,32,39.51
27,28,America Fc - MG,0,8,8,12,Fora,25,34,-9,32,38.1
28,29,America Fc - MG,1,8,9,12,Fora,25,34,-9,33,37.93
29,30,America Fc - MG,1,8,10,12,Casa,26,35,-9,34,37.78
30,31,America Fc - MG,0,8,10,13,Fora,26,36,-10,34,36.56
