,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Palmeiras - SP,2,Atlético - MG,2,1,1
1,1,Chapecoense - SC,2,Coritiba - PR,1,3,0
2,1,Fluminense - RJ,1,Joinville - SC,0,3,0
3,1,Grêmio - RS,3,Ponte Preta - SP,3,1,1
4,1,São Paulo - SP,2,Flamengo - RJ,1,3,0
5,1,Cruzeiro - MG,0,Corinthians - SP,1,0,3
6,1,Atlético - PR,3,Internacional - RS,0,3,0
7,1,Sport - PE,4,Figueirense - SC,1,3,0
8,1,Vasco da Gama - RJ,0,Goiás - GO,0,1,1
9,1,Avaí - SC,1,Santos - SP,1,1,1
10,2,Coritiba - PR,2,Grêmio - RS,0,3,0
11,2,Goiás - GO,2,Atlético - PR,0,3,0
12,2,Corinthians - SP,1,Chapecoense - SC,0,3,0
13,2,Figueirense - SC,0,Vasco da Gama - RJ,0,1,1
14,2,Flamengo - RJ,2,Sport - PE,2,1,1
15,2,Santos - SP,1,Cruzeiro - MG,0,3,0
16,2,Atlético - MG,4,Fluminense - RJ,1,3,0
17,2,Joinville - SC,0,Palmeiras - SP,0,1,1
18,2,Ponte Preta - SP,1,São Paulo - SP,0,3,0
19,2,Internacional - RS,1,Avaí - SC,0,3,0
20,3,São Paulo - SP,3,Joinville - SC,0,3,0
21,3,Vasco da Gama - RJ,1,Internacional - RS,1,1,1
22,3,Grêmio - RS,1,Figueirense - SC,0,3,0
23,3,Palmeiras - SP,0,Goiás - GO,1,0,3
24,3,Chapecoense - SC,1,Santos - SP,0,3,0
25,3,Fluminense - RJ,0,Corinthians - SP,0,1,1
26,3,Atlético - PR,1,Atlético - MG,0,3,0
27,3,Avaí - SC,2,Flamengo - RJ,1,3,0
28,3,Cruzeiro - MG,1,Ponte Preta - SP,1,1,1
29,3,Sport - PE,1,Coritiba - PR,0,3,0
30,4,Ponte Preta - SP,3,Chapecoense - SC,1,3,0
31,4,Coritiba - PR,1,Avaí - SC,2,0,3
32,4,Joinville - SC,1,Atlético - PR,2,0,3
33,4,Santos - SP,2,Sport - PE,2,1,1
34,4,Goiás - GO,1,Grêmio - RS,1,1,1
35,4,Atlético - MG,3,Vasco da Gama - RJ,0,3,0
36,4,Internacional - RS,0,São Paulo - SP,0,1,1
37,4,Corinthians - SP,0,Palmeiras - SP,2,0,3
38,4,Flamengo - RJ,2,Fluminense - RJ,3,0,3
39,4,Figueirense - SC,2,Cruzeiro - MG,1,3,0
40,5,Vasco da Gama - RJ,0,Ponte Preta - SP,3,0,3
41,5,Atlético - PR,1,Figueirense - SC,0,3,0
42,5,Chapecoense - SC,2,Joinville - SC,0,3,0
