,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,Atlético - GO,1,0,1,0,Fora,0,0,0,1,33.33
1,2,Atlético - GO,1,0,2,0,Casa,1,1,0,2,33.33
2,3,Atlético - GO,0,0,2,1,Casa,1,2,-1,2,22.22
3,4,Atlético - GO,0,0,2,2,Fora,1,4,-3,2,16.67
4,5,Atlético - GO,0,0,2,3,Fora,1,7,-6,2,13.33
5,6,Atlético - GO,0,0,2,4,Casa,2,11,-9,2,11.11
6,7,Atlético - GO,0,0,2,5,Fora,4,14,-10,2,9.52
7,8,Atlético - GO,0,0,2,6,Casa,4,15,-11,2,8.33
8,9,Atlético - GO,0,0,2,7,Fora,4,16,-12,2,7.41
9,10,Atlético - GO,3,1,2,7,Casa,7,18,-11,5,16.67
10,11,Atlético - GO,0,1,2,8,Fora,8,22,-14,5,15.15
11,12,Atlético - GO,3,2,2,8,Casa,12,25,-13,8,22.22
12,13,Atlético - GO,1,2,3,8,Fora,12,25,-13,9,23.08
13,14,Atlético - GO,0,2,3,9,Casa,13,27,-14,9,21.43
14,15,Atlético - GO,1,2,4,9,Fora,14,28,-14,10,22.22
15,16,Atlético - GO,1,2,5,9,Fora,16,30,-14,11,22.92
16,17,Atlético - GO,1,2,6,9,Casa,17,31,-14,12,23.53
17,18,Atlético - GO,3,3,6,9,Casa,19,32,-13,15,27.78
18,19,Atlético - GO,1,3,7,9,Fora,20,33,-13,16,28.07
19,20,Atlético - GO,0,3,7,10,Casa,20,35,-15,16,26.67
20,21,Atlético - GO,0,3,7,11,Fora,21,38,-17,16,25.4
21,22,Atlético - GO,0,3,7,12,Fora,22,40,-18,16,24.24
22,23,Atlético - GO,1,3,8,12,Casa,23,41,-18,17,24.64
23,24,Atlético - GO,0,3,8,13,Casa,24,43,-19,17,23.61
24,25,Atlético - GO,3,4,8,13,Fora,26,44,-18,20,26.67
25,26,Atlético - GO,0,4,8,14,Casa,27,46,-19,20,25.64
26,27,Atlético - GO,0,4,8,15,Fora,27,48,-21,20,24.69
27,28,Atlético - GO,0,4,8,16,Casa,27,49,-22,20,23.81
28,29,Atlético - GO,0,4,8,17,Fora,28,52,-24,20,22.99
29,30,Atlético - GO,3,5,8,17,Casa,31,53,-22,23,25.56
30,31,Atlético - GO,0,5,8,18,Fora,31,55,-24,23,24.73
31,32,Atlético - GO,0,5,8,19,Casa,31,56,-25,23,23.96
32,33,Atlético - GO,0,5,8,20,Fora,31,60,-29,23,23.23
33,34,Atlético - GO,0,5,8,21,Casa,31,62,-31,23,22.55
34,35,Atlético - GO,3,6,8,21,Casa,33,63,-30,26,24.76
35,36,Atlético - GO,1,6,9,21,Fora,35,65,-30,27,25.0
36,37,Atlético - GO,3,7,9,21,Fora,37,66,-29,30,27.03
37,38,Atlético - GO,0,7,9,22,Casa,37,67,-30,30,26.32
38,1,Atlético - MG,3,1,0,0,Fora,1,0,1,3,100.0
39,2,Atlético - MG,3,2,0,0,Casa,2,0,2,6,100.0
40,3,Atlético - MG,1,2,1,0,Casa,3,1,2,7,77.78
41,4,Atlético - MG,3,3,1,0,Fora,4,1,3,10,83.33
42,5,Atlético - MG,0,3,1,1,Fora,4,2,2,10,66.67
43,6,Atlético - MG,3,4,1,1,Casa,9,3,6,13,72.22
44,7,Atlético - MG,3,5,1,1,Fora,10,3,7,16,76.19
45,8,Atlético - MG,3,6,1,1,Casa,12,3,9,19,79.17
46,9,Atlético - MG,3,7,1,1,Fora,16,6,10,22,81.48
47,10,Atlético - MG,3,8,1,1,Casa,19,7,12,25,83.33
48,11,Atlético - MG,3,9,1,1,Fora,23,8,15,28,84.85
49,12,Atlético - MG,3,10,1,1,Casa,25,8,17,31,86.11
50,13,Atlético - MG,1,10,2,1,Fora,25,8,17,32,82.05
51,14,Atlético - MG,0,10,2,2,Fora,26,10,16,32,76.19
52,15,Atlético - MG,3,11,2,2,Casa,27,10,17,35,77.78
53,16,Atlético - MG,3,12,2,2,Casa,28,10,18,38,79.17
54,17,Atlético - MG,1,12,3,2,Fora,29,11,18,39,76.47
55,18,Atlético - MG,3,13,3,2,Casa,32,13,19,42,77.78
56,19,Atlético - MG,1,13,4,2,Fora,34,15,19,43,75.44
57,20,Atlético - MG,1,13,5,2,Casa,36,17,19,44,73.33
58,21,Atlético - MG,0,13,5,3,Fora,36,18,18,44,69.84
59,22,Atlético - MG,1,13,6,3,Fora,36,18,18,45,68.18
60,23,Atlético - MG,3,14,6,3,Casa,39,18,21,48,69.57
61,24,Atlético - MG,3,15,6,3,Casa,40,18,22,51,70.83
62,25,Atlético - MG,0,15,6,4,Fora,40,19,21,51,68.0
63,26,Atlético - MG,1,15,7,4,Casa,40,19,21,52,66.67
64,27,Atlético - MG,1,15,8,4,Fora,41,20,21,53,65.43
65,28,Atlético - MG,3,16,8,4,Casa,47,20,27,56,66.67
66,29,Atlético - MG,0,16,8,5,Fora,47,23,24,56,64.37
67,30,Atlético - MG,3,17,8,5,Casa,49,24,25,59,65.56
68,31,Atlético - MG,1,17,9,5,Fora,51,26,25,60,64.52
69,32,Atlético - MG,3,18,9,5,Casa,54,28,26,63,65.62
70,33,Atlético - MG,1,18,10,5,Casa,55,29,26,64,64.65
71,34,Atlético - MG,0,18,10,6,Fora,55,30,25,64,62.75
72,35,Atlético - MG,1,18,11,6,Fora,56,31,25,65,61.9
73,36,Atlético - MG,1,18,12,6,Casa,58,33,25,66,61.11
74,37,Atlético - MG,3,19,12,6,Fora,61,35,26,69,62.16
75,38,Atlético - MG,3,20,12,6,Casa,64,37,27,72,63.16
76,1,Bahia - BA,1,0,1,0,Casa,0,0,0,1,33.33
77,2,Bahia - BA,0,0,1,1,Fora,0,1,-1,1,16.67
78,3,Bahia - BA,1,0,2,1,Fora,1,2,-1,2,22.22
79,4,Bahia - BA,0,0,2,2,Casa,2,4,-2,2,16.67
80,5,Bahia - BA,3,1,2,2,Casa,4,5,-1,5,33.33
81,6,Bahia - BA,1,1,3,2,Fora,5,6,-1,6,33.33
82,7,Bahia - BA,1,1,4,2,Casa,6,7,-1,7,33.33
83,8,Bahia - BA,0,1,4,3,Fora,6,10,-4,7,29.17
84,9,Bahia - BA,0,1,4,4,Casa,7,12,-5,7,25.93
85,10,Bahia - BA,0,1,4,5,Fora,7,16,-9,7,23.33
86,11,Bahia - BA,1,1,5,5,Casa,9,18,-9,8,24.24
87,12,Bahia - BA,3,2,5,5,Fora,11,18,-7,11,30.56
88,13,Bahia - BA,1,2,6,5,Casa,11,18,-7,12,30.77
89,14,Bahia - BA,0,2,6,6,Fora,12,21,-9,12,28.57
90,15,Bahia - BA,1,2,7,6,Casa,12,21,-9,13,28.89
