,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Fluminense - RJ,0,Santos - SP,0,1,1
1,1,Atlético - GO,1,Flamengo - RJ,1,1,1
2,1,Palmeiras - SP,2,Ceará - CE,3,0,3
3,1,Coritiba - PR,3,Goiás - GO,0,3,0
4,1,Atlético Mineiro - MG,2,Internacional - RS,0,3,0
5,1,Botafogo - RJ,1,Corinthians - SP,3,0,3
6,1,Fortaleza - CE,0,Cuiabá Saf - MT,1,0,3
7,1,Avaí - SC,1,América Fc Saf - MG,0,3,0
8,1,São Paulo - SP,4,Athletico Paranaense - PR,0,3,0
9,1,Juventude - RS,2,Red Bull Bragantino - SP,2,1,1
10,2,Goiás - GO,1,Palmeiras - SP,1,1,1
11,2,América Fc Saf - MG,4,Juventude - RS,1,3,0
12,2,Corinthians - SP,3,Avaí - SC,0,3,0
13,2,Cuiabá Saf - MT,0,Fluminense - RJ,1,0,3
14,2,Santos - SP,2,Coritiba - PR,1,3,0
15,2,Flamengo - RJ,3,São Paulo - SP,1,3,0
16,2,Internacional - RS,2,Fortaleza - CE,1,3,0
17,2,Red Bull Bragantino - SP,4,Atlético - GO,0,3,0
18,2,Athletico Paranaense - PR,0,Atlético Mineiro - MG,1,0,3
19,2,Ceará - CE,1,Botafogo - RJ,3,0,3
20,3,Athletico Paranaense - PR,1,Flamengo - RJ,0,3,0
21,3,Red Bull Bragantino - SP,1,São Paulo - SP,1,1,1
22,3,Palmeiras - SP,3,Corinthians - SP,0,3,0
23,3,Fluminense - RJ,0,Internacional - RS,1,0,3
24,3,Atlético Mineiro - MG,2,Coritiba - PR,2,1,1
25,3,Santos - SP,3,América Fc Saf - MG,0,3,0
26,3,Juventude - RS,0,Cuiabá Saf - MT,1,0,3
27,3,Atlético - GO,1,Botafogo - RJ,1,1,1
28,3,Avaí - SC,3,Goiás - GO,2,3,0
29,3,Fortaleza - CE,0,Ceará - CE,1,0,3
30,4,Flamengo - RJ,0,Palmeiras - SP,0,1,1
31,4,Ceará - CE,0,Red Bull Bragantino - SP,1,0,3
32,4,América Fc Saf - MG,1,Athletico Paranaense - PR,0,3,0
33,4,Goiás - GO,2,Atlético Mineiro - MG,2,1,1
34,4,Cuiabá Saf - MT,1,Atlético - GO,1,1,1
35,4,Botafogo - RJ,1,Juventude - RS,1,1,1
36,4,Corinthians - SP,1,Fortaleza - CE,0,3,0
37,4,Coritiba - PR,3,Fluminense - RJ,2,3,0
38,4,Internacional - RS,0,Avaí - SC,0,1,1
39,4,São Paulo - SP,2,Santos - SP,1,3,0
40,5,Atlético Mineiro - MG,1,América Fc Saf - MG,2,0,3
41,5,Athletico Paranaense - PR,1,Ceará - CE,0,3,0
42,5,Flamengo - RJ,0,Botafogo - RJ,1,0,3
43,5,Atlético - GO,0,Goiás - GO,1,0,3
44,5,Palmeiras - SP,1,Fluminense - RJ,1,1,1
45,5,Red Bull Bragantino - SP,0,Corinthians - SP,1,0,3
46,5,Santos - SP,4,Cuiabá Saf - MT,1,3,0
47,5,Juventude - RS,1,Internacional - RS,1,1,1
48,5,Fortaleza - CE,1,São Paulo - SP,1,1,1
49,5,Avaí - SC,2,Coritiba - PR,1,3,0
50,6,Palmeiras - SP,2,Red Bull Bragantino - SP,0,3,0
51,6,Ceará - CE,2,Flamengo - RJ,2,1,1
52,6,Internacional - RS,2,Corinthians - SP,2,1,1
53,6,Atlético Mineiro - MG,2,Atlético - GO,0,3,0
54,6,Fluminense - RJ,2,Athletico Paranaense - PR,1,3,0
55,6,São Paulo - SP,2,Cuiabá Saf - MT,1,3,0
56,6,Coritiba - PR,1,América Fc Saf - MG,0,3,0
57,6,Botafogo - RJ,3,Fortaleza - CE,1,3,0
58,6,Avaí - SC,1,Juventude - RS,2,0,3
59,6,Goiás - GO,1,Santos - SP,0,3,0
