,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Fortaleza - CE,0,Athletico Paranaense - PR,2,0,3
1,1,Coritiba - PR,0,Internacional - RS,1,0,3
2,1,Sport - PE,3,Ceará - CE,2,3,0
3,1,Flamengo - RJ,0,Atlético - MG,1,0,3
4,1,Santos - SP,1,Red Bull Bragantino - SP,1,1,1
5,1,Grêmio - RS,1,Fluminense - RJ,0,3,0
6,1,Botafogo - RJ,1,Bahia - BA,2,0,3
7,1,Corinthians - SP,0,Atlético - GO,0,1,1
8,1,Goiás - GO,0,São Paulo - SP,3,0,3
9,1,Palmeiras - SP,1,Vasco da Gama - RJ,1,1,1
10,2,Red Bull Bragantino - SP,1,Botafogo - RJ,1,1,1
11,2,Athletico Paranaense - PR,2,Goiás - GO,1,3,0
12,2,Atlético - MG,3,Corinthians - SP,2,3,0
13,2,Atlético - GO,3,Flamengo - RJ,0,3,0
14,2,Bahia - BA,1,Coritiba - PR,0,3,0
15,2,Ceará - CE,1,Grêmio - RS,1,1,1
16,2,Fluminense - RJ,1,Palmeiras - SP,1,1,1
17,2,São Paulo - SP,1,Fortaleza - CE,0,3,0
18,2,Internacional - RS,2,Santos - SP,0,3,0
19,2,Vasco da Gama - RJ,2,Sport - PE,0,3,0
20,3,Grêmio - RS,0,Corinthians - SP,0,1,1
21,3,Coritiba - PR,0,Flamengo - RJ,1,0,3
22,3,Palmeiras - SP,1,Goiás - GO,1,1,1
23,3,Atlético - MG,2,Ceará - CE,0,3,0
24,3,Vasco da Gama - RJ,2,São Paulo - SP,1,3,0
25,3,Bahia - BA,2,Red Bull Bragantino - SP,1,3,0
26,3,Fluminense - RJ,2,Internacional - RS,1,3,0
27,3,Atlético - GO,1,Sport - PE,1,1,1
28,3,Fortaleza - CE,0,Botafogo - RJ,0,1,1
29,3,Santos - SP,3,Athletico Paranaense - PR,1,3,0
30,4,Flamengo - RJ,1,Grêmio - RS,1,1,1
31,4,Red Bull Bragantino - SP,2,Fluminense - RJ,1,3,0
32,4,Athletico Paranaense - PR,0,Palmeiras - SP,1,0,3
33,4,Goiás - GO,1,Fortaleza - CE,3,0,3
34,4,Internacional - RS,3,Atlético - GO,0,3,0
35,4,Botafogo - RJ,2,Atlético - MG,1,3,0
36,4,Corinthians - SP,3,Coritiba - PR,1,3,0
37,4,Sport - PE,0,Santos - SP,1,0,3
38,4,São Paulo - SP,1,Bahia - BA,1,1,1
39,4,Ceará - CE,0,Vasco da Gama - RJ,3,0,3
40,5,Athletico Paranaense - PR,0,Fluminense - RJ,1,0,3
41,5,Internacional - RS,1,Atlético - MG,0,3,0
42,5,Goiás - GO,2,Atlético - GO,0,3,0
43,5,Flamengo - RJ,1,Botafogo - RJ,1,1,1
44,5,Vasco da Gama - RJ,0,Grêmio - RS,0,1,1
45,5,Palmeiras - SP,2,Santos - SP,1,3,0
46,5,Red Bull Bragantino - SP,1,Coritiba - PR,2,0,3
47,5,Sport - PE,0,São Paulo - SP,1,0,3
48,5,Ceará - CE,2,Bahia - BA,0,3,0
49,5,Corinthians - SP,1,Fortaleza - CE,1,1,1
50,6,Botafogo - RJ,0,Internacional - RS,2,0,3
51,6,Fluminense - RJ,2,Vasco da Gama - RJ,1,3,0
52,6,Bahia - BA,1,Palmeiras - SP,1,1,1
53,6,Fortaleza - CE,3,Red Bull Bragantino - SP,0,3,0
54,6,São Paulo - SP,2,Corinthians - SP,1,3,0
55,6,Santos - SP,0,Flamengo - RJ,1,0,3
56,6,Coritiba - PR,1,Sport - PE,0,3,0
57,6,Atlético - GO,0,Ceará - CE,2,0,3
58,6,Atlético - MG,0,Athletico Paranaense - PR,2,0,3
59,6,Grêmio - RS,2,Goiás - GO,1,3,0
60,7,Ceará - CE,1,Fortaleza - CE,0,3,0
61,7,Fluminense - RJ,1,Atlético - GO,1,1,1
62,7,Goiás - GO,1,Corinthians - SP,2,0,3
63,7,Athletico Paranaense - PR,1,Red Bull Bragantino - SP,1,1,1
64,7,Bahia - BA,3,Flamengo - RJ,5,0,3
