,Rodada,Casa,Gols Casa,Fora,Gols Fora,Pontos Casa,Pontos Fora
0,1,Flamengo - RJ,1,Atlético - MG,1,1,1
1,1,Corinthians - SP,1,Chapecoense - SC,1,1,1
2,1,Fluminense - RJ,3,Santos - SP,2,3,0
3,1,Palmeiras - SP,4,Vasco da Gama - RJ,0,3,0
4,1,Cruzeiro - MG,1,São Paulo - SP,0,3,0
5,1,Bahia - BA,6,Atlético - PR,2,3,0
6,1,Ponte Preta - SP,4,Sport - PE,0,3,0
7,1,Avaí - SC,0,Vitória - BA,0,1,1
8,1,Grêmio - RS,2,Botafogo - RJ,0,3,0
9,1,Coritiba - PR,4,Atlético - GO,1,3,0
10,2,Santos - SP,1,Coritiba - PR,0,3,0
11,2,Atlético - GO,0,Flamengo - RJ,3,0,3
12,2,Chapecoense - SC,1,Palmeiras - SP,0,3,0
13,2,Vasco da Gama - RJ,2,Bahia - BA,1,3,0
14,2,Atlético - MG,1,Fluminense - RJ,2,0,3
15,2,Atlético - PR,0,Grêmio - RS,2,0,3
16,2,Vitória - BA,0,Corinthians - SP,1,0,3
17,2,Botafogo - RJ,2,Ponte Preta - SP,0,3,0
18,2,Sport - PE,1,Cruzeiro - MG,1,1,1
19,2,São Paulo - SP,2,Avaí - SC,0,3,0
20,3,Vasco da Gama - RJ,3,Fluminense - RJ,2,3,0
21,3,São Paulo - SP,2,Palmeiras - SP,0,3,0
22,3,Vitória - BA,0,Coritiba - PR,1,0,3
23,3,Atlético - MG,2,Ponte Preta - SP,2,1,1
24,3,Atlético - PR,1,Flamengo - RJ,1,1,1
25,3,Santos - SP,0,Cruzeiro - MG,1,0,3
26,3,Atlético - GO,0,Corinthians - SP,1,0,3
27,3,Sport - PE,4,Grêmio - RS,3,3,0
28,3,Botafogo - RJ,1,Bahia - BA,0,3,0
29,3,Chapecoense - SC,2,Avaí - SC,0,3,0
30,4,Coritiba - PR,1,Atlético - PR,0,3,0
31,4,Fluminense - RJ,2,Vitória - BA,1,3,0
32,4,Corinthians - SP,2,Santos - SP,0,3,0
33,4,Flamengo - RJ,0,Botafogo - RJ,0,1,1
34,4,Avaí - SC,1,Sport - PE,0,3,0
35,4,Ponte Preta - SP,1,São Paulo - SP,0,3,0
36,4,Grêmio - RS,2,Vasco da Gama - RJ,0,3,0
37,4,Palmeiras - SP,0,Atlético - MG,0,1,1
38,4,Cruzeiro - MG,0,Chapecoense - SC,2,0,3
39,4,Bahia - BA,3,Atlético - GO,0,3,0
40,5,Fluminense - RJ,1,Atlético - PR,1,1,1
41,5,Atlético - MG,1,Avaí - SC,0,3,0
42,5,Coritiba - PR,1,Palmeiras - SP,0,3,0
43,5,Santos - SP,1,Botafogo - RJ,0,3,0
44,5,Sport - PE,2,Flamengo - RJ,0,3,0
45,5,Vasco da Gama - RJ,2,Corinthians - SP,5,0,3
46,5,Atlético - GO,3,Ponte Preta - SP,0,3,0
47,5,São Paulo - SP,2,Vitória - BA,0,3,0
48,5,Chapecoense - SC,3,Grêmio - RS,6,0,3
49,5,Bahia - BA,1,Cruzeiro - MG,0,3,0
50,6,Palmeiras - SP,3,Fluminense - RJ,1,3,0
51,6,Vasco da Gama - RJ,2,Sport - PE,1,3,0
52,6,Botafogo - RJ,2,Coritiba - PR,2,1,1
53,6,Corinthians - SP,3,São Paulo - SP,2,3,0
54,6,Vitória - BA,2,Atlético - MG,0,3,0
55,6,Ponte Preta - SP,3,Chapecoense - SC,2,3,0
56,6,Avaí - SC,1,Flamengo - RJ,1,1,1
57,6,Cruzeiro - MG,2,Atlético - GO,0,3,0
58,6,Atlético - PR,0,Santos - SP,2,0,3
59,6,Grêmio - RS,1,Bahia - BA,0,3,0
60,7,Atlético - MG,0,Atlético - PR,1,0,3
61,7,Atlético - GO,3,Avaí - SC,1,3,0
62,7,Vitória - BA,2,Botafogo - RJ,2,1,1
63,7,Sport - PE,0,São Paulo - SP,0,1,1
64,7,Flamengo - RJ,2,Ponte Preta - SP,0,3,0
65,7,Corinthians - SP,1,Cruzeiro - MG,0,3,0
66,7,Santos - SP,1,Palmeiras - SP,0,3,0
67,7,Chapecoense - SC,2,Vasco da Gama - RJ,1,3,0
68,7,Coritiba - PR,0,Bahia - BA,0,1,1
69,7,Fluminense - RJ,0,Grêmio - RS,2,0,3
70,8,Atlético - GO,0,Atlético - PR,1,0,3
71,8,Vasco da Gama - RJ,1,Avaí - SC,0,3,0
72,8,Santos - SP,0,Ponte Preta - SP,0,1,1
73,8,Coritiba - PR,0,Corinthians - SP,0,1,1
74,8,São Paulo - SP,1,Atlético - MG,2,0,3
75,8,Bahia - BA,2,Palmeiras - SP,4,0,3
76,8,Fluminense - RJ,2,Flamengo - RJ,2,1,1
77,8,Chapecoense - SC,0,Botafogo - RJ,2,0,3
78,8,Sport - PE,1,Vitória - BA,3,0,3
79,8,Cruzeiro - MG,3,Grêmio - RS,3,1,1
80,9,Vitória - BA,0,Santos - SP,2,0,3
81,9,Botafogo - RJ,3,Vasco da Gama - RJ,1,3,0
82,9,Palmeiras - SP,1,Atlético - GO,0,3,0
83,9,Avaí - SC,0,Fluminense - RJ,3,0,3
84,9,Atlético - MG,2,Sport - PE,2,1,1
85,9,Atlético - PR,1,São Paulo - SP,0,3,0
86,9,Ponte Preta - SP,1,Cruzeiro - MG,0,3,0
87,9,Corinthians - SP,3,Bahia - BA,0,3,0
88,9,Grêmio - RS,2,Coritiba - PR,0,3,0
89,9,Flamengo - RJ,5,Chapecoense - SC,1,3,0
90,10,Santos - SP,0,Sport - PE,1,0,3
91,10,Vasco da Gama - RJ,1,Atlético - GO,0,3,0
92,10,Ponte Preta - SP,1,Palmeiras - SP,2,0,3
93,10,Grêmio - RS,0,Corinthians - SP,1,0,3
94,10,Atlético - PR,4,Vitória - BA,1,3,0
95,10,Cruzeiro - MG,2,Coritiba - PR,0,3,0
96,10,São Paulo - SP,1,Fluminense - RJ,1,1,1
97,10,Bahia - BA,0,Flamengo - RJ,1,0,3
98,10,Chapecoense - SC,0,Atlético - MG,1,0,3
99,10,Botafogo - RJ,0,Avaí - SC,2,0,3
100,11,Palmeiras - SP,1,Grêmio - RS,0,3,0
101,11,Atlético - GO,1,Santos - SP,1,1,1
102,11,Flamengo - RJ,2,São Paulo - SP,0,3,0
103,11,Corinthians - SP,1,Botafogo - RJ,0,3,0
104,11,Atlético - MG,3,Cruzeiro - MG,1,3,0
105,11,Sport - PE,1,Atlético - PR,0,3,0
106,11,Vitória - BA,0,Bahia - BA,0,1,1
107,11,Coritiba - PR,2,Vasco da Gama - RJ,2,1,1
108,11,Avaí - SC,0,Ponte Preta - SP,0,1,1
109,11,Fluminense - RJ,3,Chapecoense - SC,3,1,1
110,12,Atlético - GO,1,Vitória - BA,2,0,3
111,12,Vasco da Gama - RJ,0,Flamengo - RJ,1,0,3
112,12,Corinthians - SP,2,Ponte Preta - SP,0,3,0
113,12,Chapecoense - SC,1,Atlético - PR,1,1,1
114,12,Cruzeiro - MG,3,Palmeiras - SP,1,3,0
115,12,Grêmio - RS,0,Avaí - SC,2,0,3
116,12,Bahia - BA,1,Fluminense - RJ,1,1,1
117,12,Santos - SP,3,São Paulo - SP,2,3,0
118,12,Botafogo - RJ,1,Atlético - MG,1,1,1
119,12,Coritiba - PR,0,Sport - PE,3,0,3
120,13,Ponte Preta - SP,0,Bahia - BA,3,0,3
121,13,Atlético - MG,0,Santos - SP,1,0,3
122,13,Fluminense - RJ,0,Botafogo - RJ,1,0,3
123,13,Palmeiras - SP,0,Corinthians - SP,2,0,3
124,13,Vitória - BA,1,Vasco da Gama - RJ,4,0,3
125,13,Atlético - PR,0,Cruzeiro - MG,2,0,3
126,13,Sport - PE,3,Chapecoense - SC,0,3,0
127,13,São Paulo - SP,2,Atlético - GO,2,1,1
128,13,Flamengo - RJ,0,Grêmio - RS,1,0,3
129,13,Avaí - SC,1,Coritiba - PR,4,0,3
130,14,Corinthians - SP,2,Atlético - PR,2,1,1
131,14,Palmeiras - SP,4,Vitória - BA,2,3,0
132,14,Vasco da Gama - RJ,0,Santos - SP,0,1,1
133,14,Cruzeiro - MG,1,Flamengo - RJ,1,1,1
134,14,Grêmio - RS,3,Ponte Preta - SP,1,3,0
135,14,Atlético - GO,1,Atlético - MG,2,0,3
136,14,Chapecoense - SC,2,São Paulo - SP,0,3,0
137,14,Coritiba - PR,1,Fluminense - RJ,2,0,3
138,14,Bahia - BA,1,Avaí - SC,1,1,1
139,14,Botafogo - RJ,2,Sport - PE,1,3,0
140,15,Vitória - BA,1,Grêmio - RS,3,0,3
141,15,Santos - SP,1,Chapecoense - SC,0,3,0
142,15,Ponte Preta - SP,4,Coritiba - PR,0,3,0
143,15,Avaí - SC,0,Corinthians - SP,0,1,1
144,15,Flamengo - RJ,2,Palmeiras - SP,2,1,1
145,15,Atlético - MG,0,Bahia - BA,2,0,3
146,15,São Paulo - SP,1,Vasco da Gama - RJ,0,3,0
147,15,Fluminense - RJ,1,Cruzeiro - MG,1,1,1
148,15,Sport - PE,4,Atlético - GO,0,3,0
149,15,Atlético - PR,0,Botafogo - RJ,0,1,1
150,16,Vitória - BA,1,Chapecoense - SC,2,0,3
151,16,Flamengo - RJ,2,Coritiba - PR,1,3,0
152,16,Santos - SP,3,Bahia - BA,0,3,0
153,16,Avaí - SC,1,Cruzeiro - MG,0,3,0
154,16,Fluminense - RJ,0,Corinthians - SP,1,0,3
155,16,Sport - PE,0,Palmeiras - SP,2,0,3
156,16,Atlético - MG,1,Vasco da Gama - RJ,2,0,3
157,16,Atlético - PR,0,Ponte Preta - SP,2,0,3
