,Rodada,Time,Pontos,Vitorias,Empates,Derrotas,Em Casa?,Total de Gols,Total de Gols Tomados,Saldo de Gols,Pontos Acumulados,Aproveitamento %
0,1,America - MG,0,0,0,1,Fora,0,1,-1,0,0.0
1,2,America - MG,0,0,0,2,Casa,0,2,-2,0,0.0
2,3,America - MG,0,0,0,3,Fora,0,4,-4,0,0.0
3,4,America - MG,1,0,1,3,Casa,0,4,-4,1,8.33
4,5,America - MG,0,0,1,4,Fora,1,6,-5,1,6.67
5,6,America - MG,1,0,2,4,Casa,2,7,-5,2,11.11
6,7,America - MG,1,0,3,4,Casa,3,8,-5,3,14.29
7,8,America - MG,3,1,3,4,Fora,7,11,-4,6,25.0
8,9,America - MG,3,2,3,4,Casa,9,11,-2,9,33.33
9,10,America - MG,0,2,3,5,Fora,9,15,-6,9,30.0
10,11,America - MG,0,2,3,6,Casa,9,16,-7,9,27.27
11,12,America - MG,0,2,3,7,Casa,9,17,-8,9,25.0
12,13,America - MG,1,2,4,7,Fora,10,18,-8,10,25.64
13,14,America - MG,1,2,5,7,Fora,11,19,-8,11,26.19
14,15,America - MG,3,3,5,7,Casa,12,19,-7,14,31.11
15,16,America - MG,1,3,6,7,Fora,13,20,-7,15,31.25
16,17,America - MG,0,3,6,8,Casa,13,22,-9,15,29.41
17,18,America - MG,3,4,6,8,Casa,15,22,-7,18,33.33
18,19,America - MG,1,4,7,8,Fora,15,22,-7,19,33.33
19,20,America - MG,3,5,7,8,Casa,17,22,-5,22,36.67
20,21,America - MG,1,5,8,8,Fora,18,23,-5,23,36.51
21,22,America - MG,1,5,9,8,Casa,19,24,-5,24,36.36
22,23,America - MG,3,6,9,8,Fora,21,24,-3,27,39.13
23,24,America - MG,3,7,9,8,Casa,23,25,-2,30,41.67
24,25,America - MG,1,7,10,8,Fora,24,26,-2,31,41.33
25,26,America - MG,0,7,10,9,Fora,25,29,-4,31,39.74
26,27,America - MG,1,7,11,9,Casa,25,29,-4,32,39.51
27,28,America - MG,3,8,11,9,Fora,27,29,-2,35,41.67
28,29,America - MG,3,9,11,9,Casa,29,30,-1,38,43.68
29,30,America - MG,0,9,11,10,Fora,29,31,-2,38,42.22
30,31,America - MG,3,10,11,10,Fora,32,33,-1,41,44.09
31,32,America - MG,3,11,11,10,Casa,35,34,1,44,45.83
32,33,America - MG,1,11,12,10,Casa,35,34,1,45,45.45
33,34,America - MG,0,11,12,11,Fora,35,36,-1,45,44.12
34,35,America - MG,3,12,12,11,Casa,38,36,2,48,45.71
35,36,America - MG,1,12,13,11,Fora,39,37,2,49,45.37
36,37,America - MG,1,12,14,11,Fora,39,37,2,50,45.05
37,38,America - MG,3,13,14,11,Casa,41,37,4,53,46.49
38,1,Athletico Paranaense - PR,3,1,0,0,Casa,1,0,1,3,100.0
39,2,Athletico Paranaense - PR,3,2,0,0,Fora,4,0,4,6,100.0
40,3,Athletico Paranaense - PR,3,3,0,0,Fora,5,0,5,9,100.0
41,4,Athletico Paranaense - PR,1,3,1,0,Casa,7,2,5,10,83.33
42,5,Athletico Paranaense - PR,3,4,1,0,Casa,9,3,6,13,86.67
43,6,Athletico Paranaense - PR,0,4,1,1,Fora,10,5,5,13,72.22
44,7,Athletico Paranaense - PR,1,4,2,1,Casa,12,7,5,14,66.67
45,8,Athletico Paranaense - PR,3,5,2,1,Fora,16,8,8,17,70.83
46,9,Athletico Paranaense - PR,3,6,2,1,Casa,18,9,9,20,74.07
47,10,Athletico Paranaense - PR,0,6,2,2,Fora,19,11,8,20,66.67
48,11,Athletico Paranaense - PR,1,6,3,2,Casa,21,13,8,21,63.64
49,12,Athletico Paranaense - PR,0,6,3,3,Fora,21,14,7,21,58.33
50,13,Athletico Paranaense - PR,3,7,3,3,Casa,23,15,8,24,61.54
51,14,Athletico Paranaense - PR,0,7,3,4,Fora,23,17,6,24,57.14
52,15,Athletico Paranaense - PR,0,7,3,5,Casa,24,19,5,24,53.33
53,16,Athletico Paranaense - PR,0,7,3,6,Fora,24,20,4,24,50.0
54,17,Athletico Paranaense - PR,0,7,3,7,Casa,24,21,3,24,47.06
55,18,Athletico Paranaense - PR,0,7,3,8,Fora,25,23,2,24,44.44
56,19,Athletico Paranaense - PR,1,7,4,8,Casa,25,23,2,25,43.86
57,20,Athletico Paranaense - PR,0,7,4,9,Fora,25,25,0,25,41.67
58,21,Athletico Paranaense - PR,3,8,4,9,Casa,27,26,1,28,44.44
59,22,Athletico Paranaense - PR,3,9,4,9,Casa,31,28,3,31,46.97
60,23,Athletico Paranaense - PR,0,9,4,10,Fora,31,31,0,31,44.93
61,24,Athletico Paranaense - PR,3,10,4,10,Fora,33,31,2,34,47.22
62,25,Athletico Paranaense - PR,0,10,4,11,Casa,33,33,0,34,45.33
63,26,Athletico Paranaense - PR,1,10,5,11,Fora,34,34,0,35,44.87
64,27,Athletico Paranaense - PR,0,10,5,12,Casa,34,35,-1,35,43.21
65,28,Athletico Paranaense - PR,0,10,5,13,Fora,34,38,-4,35,41.67
66,29,Athletico Paranaense - PR,0,10,5,14,Casa,34,39,-5,35,40.23
67,30,Athletico Paranaense - PR,3,11,5,14,Fora,36,39,-3,38,42.22
68,31,Athletico Paranaense - PR,3,12,5,14,Casa,38,40,-2,41,44.09
69,32,Athletico Paranaense - PR,0,12,5,15,Fora,39,42,-3,41,42.71
70,33,Athletico Paranaense - PR,0,12,5,16,Casa,39,43,-4,41,41.41
71,34,Athletico Paranaense - PR,1,12,6,16,Fora,39,43,-4,42,41.18
72,35,Athletico Paranaense - PR,3,13,6,16,Casa,40,43,-3,45,42.86
73,36,Athletico Paranaense - PR,0,13,6,17,Fora,40,44,-4,45,41.67
74,37,Athletico Paranaense - PR,1,13,7,17,Casa,40,44,-4,46,41.44
75,38,Athletico Paranaense - PR,1,13,8,17,Fora,41,45,-4,47,41.23
76,1,Atlético - GO,3,1,0,0,Fora,1,0,1,3,100.0
77,2,Atlético - GO,3,2,0,0,Casa,3,0,3,6,100.0
78,3,Atlético - GO,0,2,0,1,Fora,4,2,2,6,66.67
79,4,Atlético - GO,1,2,1,1,Casa,4,2,2,7,58.33
80,5,Atlético - GO,0,2,1,2,Fora,5,4,1,7,46.67
81,6,Atlético - GO,3,3,1,2,Casa,6,4,2,10,55.56
82,7,Atlético - GO,0,3,1,3,Casa,6,5,1,10,47.62
83,8,Atlético - GO,0,3,1,4,Fora,7,9,-2,10,41.67
84,9,Atlético - GO,3,4,1,4,Fora,8,9,-1,13,48.15
85,10,Atlético - GO,1,4,2,4,Casa,9,10,-1,14,46.67
86,11,Atlético - GO,1,4,3,4,Fora,10,11,-1,15,45.45
87,12,Atlético - GO,0,4,3,5,Casa,10,14,-4,15,41.67
88,13,Atlético - GO,3,5,3,5,Fora,11,14,-3,18,46.15
89,14,Atlético - GO,1,5,4,5,Casa,12,15,-3,19,45.24
90,15,Atlético - GO,1,5,5,5,Fora,12,15,-3,20,44.44
91,16,Atlético - GO,3,6,5,5,Fora,14,16,-2,23,47.92
92,17,Atlético - GO,1,6,6,5,Casa,15,17,-2,24,47.06
93,18,Atlético - GO,1,6,7,5,Casa,15,17,-2,25,46.3
94,19,Atlético - GO,0,6,7,6,Fora,15,19,-4,25,43.86
95,20,Atlético - GO,1,6,8,6,Casa,16,20,-4,26,43.33
96,21,Atlético - GO,0,6,8,7,Fora,17,22,-5,26,41.27
97,22,Atlético - GO,1,6,9,7,Casa,17,22,-5,27,40.91
98,23,Atlético - GO,3,7,9,7,Fora,20,22,-2,30,43.48
99,24,Atlético - GO,0,7,9,8,Casa,20,24,-4,30,41.67
100,25,Atlético - GO,1,7,10,8,Fora,20,24,-4,31,41.33
101,26,Atlético - GO,0,7,10,9,Fora,20,25,-5,31,39.74
102,27,Atlético - GO,3,8,10,9,Casa,22,26,-4,34,41.98
103,28,Atlético - GO,3,9,10,9,Casa,24,26,-2,37,44.05
104,29,Atlético - GO,0,9,10,10,Fora,24,28,-4,37,42.53
105,30,Atlético - GO,1,9,11,10,Casa,25,29,-4,38,42.22
106,31,Atlético - GO,0,9,11,11,Fora,25,33,-8,38,40.86
107,32,Atlético - GO,1,9,12,11,Casa,25,33,-8,39,40.62
108,33,Atlético - GO,1,9,13,11,Fora,25,33,-8,40,40.4
109,34,Atlético - GO,1,9,14,11,Casa,26,34,-8,41,40.2
110,35,Atlético - GO,3,10,14,11,Casa,28,35,-7,44,41.9
111,36,Atlético - GO,3,11,14,11,Fora,29,35,-6,47,43.52
112,37,Atlético - GO,3,12,14,11,Fora,31,36,-5,50,45.05
113,38,Atlético - GO,3,13,14,11,Casa,33,36,-3,53,46.49
114,1,Atlético Mineiro - MG,0,0,0,1,Casa,1,2,-1,0,0.0
115,2,Atlético Mineiro - MG,3,1,0,1,Fora,2,2,0,3,50.0
116,3,Atlético Mineiro - MG,3,2,0,1,Casa,3,2,1,6,66.67
117,4,Atlético Mineiro - MG,3,3,0,1,Fora,4,2,2,9,75.0
118,5,Atlético Mineiro - MG,1,3,1,1,Casa,5,3,2,10,66.67
119,6,Atlético Mineiro - MG,0,3,1,2,Fora,6,5,1,10,55.56
120,7,Atlético Mineiro - MG,0,3,1,3,Fora,6,7,-1,10,47.62
121,8,Atlético Mineiro - MG,3,4,1,3,Casa,10,8,2,13,54.17
122,9,Atlético Mineiro - MG,3,5,1,3,Fora,11,8,3,16,59.26
123,10,Atlético Mineiro - MG,3,6,1,3,Casa,13,9,4,19,63.33
124,11,Atlético Mineiro - MG,3,7,1,3,Fora,14,9,5,22,66.67
125,12,Atlético Mineiro - MG,3,8,1,3,Fora,16,10,6,25,69.44
126,13,Atlético Mineiro - MG,3,9,1,3,Casa,19,10,9,28,71.79
127,14,Atlético Mineiro - MG,3,10,1,3,Casa,21,10,11,31,73.81
128,15,Atlético Mineiro - MG,3,11,1,3,Fora,23,11,12,34,75.56
129,16,Atlético Mineiro - MG,3,12,1,3,Casa,25,11,14,37,77.08
130,17,Atlético Mineiro - MG,1,12,2,3,Fora,26,12,14,38,74.51
131,18,Atlético Mineiro - MG,1,12,3,3,Fora,27,13,14,39,72.22
132,19,Atlético Mineiro - MG,3,13,3,3,Casa,29,14,15,42,73.68
133,20,Atlético Mineiro - MG,3,14,3,3,Fora,31,14,17,45,75.0
134,21,Atlético Mineiro - MG,3,15,3,3,Casa,34,14,20,48,76.19
135,22,Atlético Mineiro - MG,1,15,4,3,Fora,34,14,20,49,74.24
136,23,Atlético Mineiro - MG,3,16,4,3,Casa,35,14,21,52,75.36
137,24,Atlético Mineiro - MG,1,16,5,3,Fora,37,16,21,53,73.61
138,25,Atlético Mineiro - MG,3,17,5,3,Casa,40,17,23,56,74.67
139,26,Atlético Mineiro - MG,3,18,5,3,Casa,43,18,25,59,75.64
140,27,Atlético Mineiro - MG,0,18,5,4,Fora,44,20,24,59,72.84
141,28,Atlético Mineiro - MG,3,19,5,4,Casa,46,21,25,62,73.81
